mission_status,mission_eligible,mission_completion,mission_loss,lissajous_start_s,lissajous_end_s,trial_id,replicate_id,com_scale,payload_mass,payload_pos_x,payload_pos_y,payload_pos_z,true_com_x,true_com_y,true_com_z,measurement_seed,torque_seed,force_seed,position_rms,position_rms_x,position_rms_y,position_rms_z,velocity_rms,attitude_rms,attitude_rms_x,attitude_rms_y,attitude_rms_z,peak_attitude,angular_acc_command_rms,mean_dob_norm,final_com_error,final_com_error_x,final_com_error_y,final_com_error_z,moce_convergence_time,max_motor_utilization,max_servo_angle,saturation_time,terminal_altitude_m,terminal_tilt_rad,terminal_airborne,numerical_success,flight_success,success,failure_reason,runtime_s,mission_position_rms,mission_velocity_rms,mission_attitude_rms,mission_peak_attitude_error,mission_com_error_rms,mission_final_com_error,mission_max_motor_utilization,mission_motor_saturation_fraction,mission_max_servo_angle,mission_max_servo_rate,mission_servo_angle_contact_fraction,mission_mean_dob_norm,mission_dob_rms,mission_position_rms_x,mission_attitude_rms_x,mission_position_rms_y,mission_attitude_rms_y,mission_position_rms_z,mission_attitude_rms_z,mission_motor_1_max_utilization,mission_servo_1_max_angle,mission_motor_2_max_utilization,mission_servo_2_max_angle,mission_motor_3_max_utilization,mission_servo_3_max_angle,mission_motor_4_max_utilization,mission_servo_4_max_angle,mission_allocation_force_residual_rms,mission_allocation_force_residual_max,mission_allocation_torque_residual_rms,mission_allocation_torque_residual_max,mission_realized_force_residual_rms,mission_realized_force_residual_max,mission_realized_torque_residual_rms,mission_realized_torque_residual_max,mission_allocation_min_singular,mission_allocation_condition_max,mission_allocation_rank_min,steady_position_rms,steady_velocity_rms,steady_attitude_rms,steady_peak_attitude_error,steady_com_error_rms,steady_final_com_error,steady_max_motor_utilization,steady_motor_saturation_fraction,steady_max_servo_angle,steady_max_servo_rate,steady_servo_angle_contact_fraction,steady_mean_dob_norm,steady_dob_rms,steady_position_rms_x,steady_attitude_rms_x,steady_position_rms_y,steady_attitude_rms_y,steady_position_rms_z,steady_attitude_rms_z,steady_motor_1_max_utilization,steady_servo_1_max_angle,steady_motor_2_max_utilization,steady_servo_2_max_angle,steady_motor_3_max_utilization,steady_servo_3_max_angle,steady_motor_4_max_utilization,steady_servo_4_max_angle,steady_allocation_force_residual_rms,steady_allocation_force_residual_max,steady_allocation_torque_residual_rms,steady_allocation_torque_residual_max,steady_realized_force_residual_rms,steady_realized_force_residual_max,steady_realized_torque_residual_rms,steady_realized_torque_residual_max,steady_allocation_min_singular,steady_allocation_condition_max,steady_allocation_rank_min
mission_completion,True,True,False,20.0,80.0,0,0,1.0,0.5,0.31,0.31,0.56,0.03297872340425532,0.03297872340425532,0.059574468085106386,7000,7001,7002,0.08594716617555795,0.04876680940000315,0.06776662125480751,0.0204058500989351,0.16801366587224992,0.015203430369081459,0.009020761698968949,0.00870500575113109,0.008601920031638162,0.03121249605210202,4.395715791948099,2.0105894132381734,0.007758632235106849,0.0006833209010925212,-1.8249775657550038e-05,0.007728461273206824,nan,0.4021607714868523,0.37600077935204895,0,0.7947554928485281,0.0096794589091926,True,True,True,True,normal_completion,10.838307306999923,0.0756922386025993,0.15504279125953688,0.01901831735534991,0.05777354264705086,0.025025167493352676,0.007758632235106849,0.411576361299739,0.0,0.4472165335061161,3.260879428270223,0.0,0.20243856663839563,0.2273268408693584,0.044058389743167066,0.010811301664233044,0.058114551876117575,0.012768163962884181,0.02026998120744203,0.00904356900624201,0.411576361299739,0.243828970997209,0.2837874510816492,0.2921024686771557,0.1784271068018891,0.4472165335061161,0.2889829018132699,0.2662479573296858,0.14787591948898426,1.2069036140654674,0.05980063328846842,0.6635078552916974,25.749832227030332,31.922933868845732,0.33424060909895614,1.233393896099918,0.8447912401384865,1.3523069795141658,4,0.08594716617555782,0.16801366587224964,0.015203430369081465,0.03121249605210202,0.006589482252329323,0.007758632235106849,0.4021607714868523,0.0,0.37600077935204895,1.6694635971103073,0.0,0.17062594888570257,0.1865115304175015,0.04876680940000307,0.009020761698968956,0.06776662125480741,0.008705005751131093,0.020405850098935103,0.00860192003163816,0.4021607714868523,0.17787463324776417,0.2837874510816492,0.1907102934862054,0.17748923111444562,0.37600077935204895,0.2889829018132699,0.1911901405698288,0.1266999882191549,0.7017528950140388,0.03161636161741602,0.13032654841558716,27.164768123293108,31.922933868845732,0.26704716366662884,0.6683154879787381,0.8761332964947941,1.26751648081252,4
mission_completion,True,True,False,20.0,80.0,1,1,1.0,0.5,0.31,0.31,0.56,0.03297872340425532,0.03297872340425532,0.059574468085106386,7003,7004,7005,0.0775669522687911,0.048497603026547986,0.05667627468719692,0.021270036965874817,0.15586576998870405,0.012961560389056053,0.008216668147139543,0.006111810554513547,0.007945702236093777,0.029345265598527168,3.9773458931395043,1.52674007703761,0.000575048920231755,-0.0004743091856234949,6.603672879454403e-05,-0.0003183570441234185,nan,0.41145865412579596,0.3080738704021733,0,0.7879456675127741,0.0070150737890649845,True,True,True,True,normal_completion,7.44887473900053,0.07706338137670198,0.1636502628320905,0.01966341216865314,0.06298996225304412,0.02207362103319754,0.000575048920231755,0.42433033998268627,0.0,0.420807903197971,3.189258679543494,0.0,0.184478177935571,0.21872263273580675,0.047488442649292154,0.012369510812882581,0.05730359605982206,0.012146015935494914,0.019997760938881424,0.009280047265990672,0.42433033998268627,0.19087627596220308,0.29263959778219795,0.36206433576993163,0.1785833752455807,0.420807903197971,0.2907154999335984,0.39510589129421225,0.16096252111329548,0.9967247227458245,0.06860945322795721,0.68782903806725,25.84297047607502,32.26249297293233,0.34007172755802295,1.453706519528955,0.8042485048980405,1.4684672256988083,4,0.07756695226879108,0.15586576998870377,0.012961560389056033,0.029345265598527168,0.002633123318695754,0.000575048920231755,0.41145865412579596,0.0,0.3080738704021733,1.1576734122649794,0.0,0.12853024132395607,0.13692650436647166,0.04849760302654794,0.008216668147139531,0.05667627468719695,0.006111810554513547,0.021270036965874806,0.007945702236093786,0.41145865412579596,0.16050447381189242,0.29263959778219795,0.26278572032652975,0.16446770085481066,0.3080738704021733,0.2907154999335984,0.302794410335525,0.12313160581247122,0.5159056440873826,0.029385952385633216,0.11041678996067687,27.1287169050554,32.26249297293233,0.2626351645339552,0.713082665758492,0.8705598351118168,1.280463209533433,4
mission_completion,True,True,False,20.0,80.0,2,2,1.0,0.5,0.31,0.31,0.56,0.03297872340425532,0.03297872340425532,0.059574468085106386,7006,7007,7008,0.07364608860263186,0.04883779826948349,0.050919995310574166,0.021113263703819985,0.14787955965369745,0.015227848614995144,0.00880447453900945,0.005919090156970506,0.01092396325729806,0.029119409256967772,4.089196238192739,1.1816017810937727,0.0067203908668168845,0.0002979075495616601,0.0005907216888021843,0.00668774643516698,nan,0.3991814752733056,0.33746017012095386,0,0.7874834840800525,0.010342976014774314,True,True,True,True,normal_completion,6.933381284999996,0.075996544355332,0.14930365283672575,0.02105906969088998,0.06135322052151193,0.022975928978257763,0.0067203908668168845,0.4154951191816948,0.0,0.41702512158280935,2.877618363040497,0.0,0.18175709307300994,0.22111027696535093,0.04452678635745849,0.012509681937335891,0.05807956853673971,0.013649042635726971,0.020484232209564163,0.010034735133552878,0.4154951191816948,0.17882747905877777,0.29902807863126957,0.30463608515047574,0.18903889473661806,0.41702512158280935,0.29598044532954654,0.3289791749650066,0.13498779121299506,0.6705601893598185,0.05941669944267972,0.5924397621038424,25.84436337994451,32.24661498843228,0.33750116225473303,1.2762155924827663,0.8266893413910835,1.4047375029279594,4,0.07364608860263178,0.14787955965369737,0.015227848614995144,0.029119409256967772,0.004172216474441093,0.0067203908668168845,0.3991814752733056,0.0,0.33746017012095386,1.5142967462896693,0.0,0.09952168175348876,0.11210130379038584,0.04883779826948344,0.008804474539009465,0.05091999531057412,0.005919090156970507,0.02111326370381995,0.010923963257298079,0.3991814752733056,0.16593125829843466,0.2961561655468279,0.26212152725182997,0.18903889473661806,0.33746017012095386,0.2878605630970849,0.27622189778597284,0.1184935901367084,0.45580670383039745,0.02741144161713155,0.09599727973333742,27.34982846273184,32.24661498843228,0.2584715158551186,0.6746152220183382,0.8806218440102291,1.2583644239140124,4
mission_completion,True,True,False,20.0,80.0,3,3,1.0,0.5,0.31,0.31,0.56,0.03297872340425532,0.03297872340425532,0.059574468085106386,7009,7010,7011,0.0726953799280559,0.04432588399178243,0.05363518375756528,0.021049972316457926,0.14448092203119334,0.015262767534794658,0.009119047235122664,0.008408735773026808,0.008893155404253542,0.031350495556355946,4.297917658647304,1.6764235535367176,0.01281884166073056,-0.0008485437711124241,0.00020600179258729173,0.0127890671377094,nan,0.4110890297231732,0.34191066265205905,0,0.7816962819783526,0.01162723063458307,True,True,True,True,normal_completion,6.441260154999327,0.08157819593878167,0.1634535832093097,0.02015824874811694,0.049784696929675805,0.022894596650508067,0.01281884166073056,0.4230601033251327,0.0,0.4925973368475162,3.063497573220652,0.0,0.1999635320379687,0.2330125133765153,0.046155925836528756,0.011761522271704168,0.06389845932002651,0.013771496893365893,0.02101474385582725,0.008852539734967512,0.4230601033251327,0.24995368323644984,0.28839992768190253,0.23227458327857034,0.18812234597295205,0.4925973368475162,0.2876854222456155,0.27617879380572197,0.15001213531543714,0.9472405012027281,0.06567569052730422,0.7047274918448809,25.83769637077511,32.19954130776153,0.3366326913239418,1.1350099460788088,0.8529030618723324,1.32896166086516,4,0.07269537992805594,0.14448092203119312,0.015262767534794686,0.031350495556355946,0.008676135987997904,0.01281884166073056,0.4110890297231732,0.0,0.34191066265205905,1.2721226210049699,0.0,0.14094797508298118,0.15604992560448974,0.044325883991782444,0.009119047235122663,0.05363518375756531,0.008408735773026815,0.0210499723164579,0.008893155404253516,0.4110890297231732,0.18062904283751818,0.2860893298380553,0.229171484493787,0.17638087968734745,0.34191066265205905,0.28285256847337675,0.24231351273901763,0.09907346699431474,0.41980885079924235,0.027593813419988237,0.09561570368551808,27.200415152199504,32.19954130776153,0.265349151492604,0.6988430790084076,0.8783642896361015,1.2599633654037927,4
mission_completion,True,True,False,20.0,80.0,4,4,1.0,0.5,0.31,0.31,0.56,0.03297872340425532,0.03297872340425532,0.059574468085106386,7012,7013,7014,0.07688053622380847,0.052401142675708945,0.05253991919067923,0.02010706313157688,0.1571562317356945,0.013126557987245902,0.007887506845287776,0.0050690427461412575,0.009186869216216182,0.02935353750446413,3.7618465603767692,1.3262605377254992,0.0044695670043135224,-0.0004712914245896191,0.00024505749778486186,0.004437889185405136,nan,0.39908640283512126,0.3889917079923295,0,0.8015294967084122,0.002088116131427699,True,True,True,True,normal_completion,6.396264125000016,0.07262285671909811,0.15201486703829387,0.0183146546271484,0.05596380472440702,0.024950520651879058,0.0044695670043135224,0.40981409206287167,0.0,0.5013393495559543,2.6759368684167195,0.0,0.19419824542419778,0.22528487895543092,0.044821499034438626,0.011284025987218876,0.05356064624187058,0.011606718264050582,0.019909036051543667,0.008566295743812024,0.40981409206287167,0.19407137342150585,0.3031103688216199,0.2728296907155604,0.18317741202452964,0.5013393495559543,0.298505072022461,0.29611655226430433,0.1582862212279779,1.072049595543503,0.06057213455243069,0.5422992065216761,25.792261023465244,32.46656320838782,0.32849856248909864,1.0114857265817512,0.8509675809165111,1.335719541151882,4,0.07688053622380848,0.15715623173569424,0.013126557987245905,0.02935353750446413,0.00290483282815197,0.0044695670043135224,0.39908640283512126,0.0,0.3889917079923295,2.3426898478289484,0.0,0.10930607134833786,0.11740635740642336,0.052401142675708966,0.007887506845287776,0.0525399191906792,0.0050690427461412505,0.020107063131576928,0.009186869216216182,0.39908640283512126,0.17739168561961474,0.3031103688216199,0.20285137384350285,0.17357568076510282,0.3889917079923295,0.298505072022461,0.19774306679710518,0.12972992401570066,0.4959504432111572,0.03077673764531957,0.1204491793443082,27.20333513609632,32.46656320838782,0.2515697808913777,0.6403145873265591,0.8763764746326045,1.2679567605353017,4
mission_completion,True,True,False,20.0,80.0,5,0,1.1,0.5,0.341,0.341,0.6160000000000001,0.03627659574468085,0.03627659574468085,0.06553191489361704,7000,7001,7002,0.0858524362796945,0.048706369149221065,0.06768761257320412,0.02041366022051485,0.16792061974571354,0.016153671684184013,0.009523802671706818,0.009059584866525364,0.00938947355270906,0.033700640613379594,4.499271098327154,2.03427346384191,0.007875852971312795,0.0006691553647012738,-1.887380611169387e-05,0.007847352095010834,nan,0.4161219410448907,0.41506473852467746,0,0.7947667891332595,0.010424758825734062,True,True,True,True,normal_completion,6.287028063999969,0.07557665363406142,0.15514878938121604,0.020798841424087146,0.06387596909227035,0.02685372043129052,0.007875852971312795,0.4267264534301354,0.0,0.49401596991642027,3.231867179859409,0.0,0.21195153137933356,0.2408469722946771,0.04388841894879771,0.01164027345614355,0.05809410097068981,0.014075424818155356,0.020266047693247944,0.009948781565547595,0.4267264534301354,0.2517545795283447,0.286390410650436,0.2952624908627057,0.17239411555508874,0.49401596991642027,0.28994557645913227,0.27543628674686893,0.16035816609508344,1.2559729707039935,0.059813523637813816,0.6611656323530379,25.749913735935746,31.925087280541394,0.35106562961932175,1.3459910860202229,0.829567776344023,1.3924950281396462,4,0.08585243627969456,0.16792061974571396,0.016153671684184023,0.033700640613379594,0.006658938298589988,0.007875852971312795,0.4161219410448907,0.0,0.41506473852467746,1.87925021533406,0.0,0.17272525084985252,0.1888583741890325,0.048706369149221065,0.009523802671706817,0.0676876125732042,0.00905958486652539,0.020413660220514843,0.009389473552709056,0.4161219410448907,0.17461129849063833,0.28457322385744227,0.1948491166907935,0.16874061149123898,0.41506473852467746,0.28994557645913227,0.19705737059964973,0.13819073143502814,0.7645067696675483,0.03241696877270656,0.12986282703346727,27.165341875281744,31.925087280541394,0.26970853719765403,0.6661230201740097,0.8661888916767836,1.2891121457588068,4
mission_completion,True,True,False,20.0,80.0,6,1,1.1,0.5,0.341,0.341,0.6160000000000001,0.03627659574468085,0.03627659574468085,0.06553191489361704,7003,7004,7005,0.07753735256835567,0.048427110062982934,0.05669506020281559,0.02127266327605323,0.15603981808378983,0.013440629260472823,0.00845596885213521,0.006379089950852738,0.008273712412703629,0.031807373633128855,4.02160505231542,1.5434377608999763,0.0004935431883436497,-0.0004661158923769809,7.128011043021354e-05,-0.00014573949187191015,nan,0.41940464122623766,0.3298559855404169,0,0.7879704829163873,0.008395535127206106,True,True,True,True,normal_completion,6.410599699999693,0.07729350246638642,0.16479249084561798,0.021698561311813604,0.07657114317342419,0.023469353452087706,0.0004935431883436497,0.43907484725945706,0.0,0.45240166412215915,3.168073650693559,0.0,0.19370303022676216,0.23291837916095048,0.04742481963642223,0.013834966325354968,0.05766896516989666,0.013206738606856144,0.019986557037352606,0.01024711301533284,0.43907484725945706,0.19533694900676057,0.30038272851334363,0.38710549169762376,0.1681457569560311,0.45240166412215915,0.2932420710128446,0.4236135679458041,0.17482994461737306,1.1200749542734059,0.06966465575035867,0.7019233698958783,25.844624584071052,32.256022458364264,0.3579233539403916,1.6157960218032879,0.7869558876806997,1.5188883205113235,4,0.07753735256835564,0.15603981808378947,0.013440629260472799,0.031807373633128855,0.002542037346558622,0.0004935431883436497,0.41940464122623766,0.0,0.3298559855404169,1.3499444550656612,0.0,0.12991412355417542,0.13852766225920787,0.04842711006298293,0.008455968852135221,0.05669506020281556,0.006379089950852751,0.021272663276053216,0.00827371241270362,0.41940464122623766,0.15815032717952787,0.29474050729186113,0.26151396022451456,0.1540962484183658,0.3298559855404169,0.29180003379918285,0.30199957803792793,0.1250267852055895,0.5478299406563707,0.02796373569907181,0.11576765680306182,27.12892542983929,32.256022458364264,0.2641400293954386,0.7160958996761811,0.8630241478675669,1.2975308518078832,4
mission_completion,True,True,False,20.0,80.0,7,2,1.1,0.5,0.341,0.341,0.6160000000000001,0.03627659574468085,0.03627659574468085,0.06553191489361704,7006,7007,7008,0.07345480825668656,0.04867545996817965,0.05079877295310678,0.02111381347297153,0.14769150685076327,0.01628747960468768,0.009027566795187085,0.00632192768461529,0.01199242510846105,0.03105696973442866,4.149200814292276,1.2108103451265428,0.006843089983486905,0.0002934114299432966,0.0006000469603580985,0.00681041363650127,nan,0.4149255320033378,0.35957200241389675,0,0.7875006160781103,0.009191893979273683,True,True,True,True,normal_completion,6.2723431980002715,0.07604061279236331,0.14988324840209885,0.02323869252511362,0.07098568835699337,0.024431424524283114,0.006843089983486905,0.42886487518263655,0.0,0.4507730630505871,2.8633639415838337,0.0,0.19169932793955008,0.23701947220417016,0.04450194506561485,0.013654277106247035,0.058159337783650976,0.014991377435835595,0.02047542692552007,0.01135148226263465,0.42886487518263655,0.18003813012270747,0.30259919857920586,0.3288746689090774,0.17826643949610477,0.4507730630505871,0.30109053659577745,0.3521591768332516,0.14911695046245108,0.8165754647995556,0.060767448937013184,0.5866639059570115,25.845178671500094,32.254639544261465,0.35492549816197627,1.4182377507401231,0.8102396748147742,1.4507402138516916,4,0.07345480825668656,0.14769150685076315,0.016287479604687665,0.03105696973442866,0.004246041327274132,0.006843089983486905,0.4149255320033378,0.0,0.35957200241389675,1.6944228886857848,0.0,0.10197543888232122,0.11493040742289135,0.04867545996817959,0.009027566795187077,0.050798772953106856,0.0063219276846152965,0.0211138134729715,0.01199242510846105,0.4149255320033378,0.16116243819479878,0.30259919857920586,0.2586421713698827,0.17826643949610477,0.35957200241389675,0.28826305258336443,0.2785438440104324,0.12360283136614052,0.46810102176604573,0.0281218742079732,0.10490330299335089,27.349362581998367,32.254639544261465,0.26035266786895006,0.6913019620928329,0.8688043568171918,1.2819254256200656,4
mission_completion,True,True,False,20.0,80.0,8,3,1.1,0.5,0.341,0.341,0.6160000000000001,0.03627659574468085,0.03627659574468085,0.06553191489361704,7009,7010,7011,0.07267211805630401,0.04419278793847192,0.053713444788685616,0.021049942659006473,0.14468860071769243,0.01626539317684848,0.009382368402912924,0.008719486991367752,0.010025204484540806,0.033285760301282934,4.362507249547403,1.7029469192667748,0.013068745326010742,-0.0008547734093904621,0.00020437832617940105,0.013039160107710723,nan,0.419243680048362,0.3705435709289502,0,0.7817041455178712,0.011573233307136154,True,True,True,True,normal_completion,6.310309651999887,0.08165270445499685,0.16430802726356472,0.02236394368266038,0.06011585073311166,0.02442615734833091,0.013068745326010742,0.43756775838169354,0.0,0.5287729427746389,3.3246244156301548,0.0,0.2096844125703476,0.24789432708561027,0.04593743706944977,0.013308263450275679,0.06415426631904773,0.014809501964615085,0.021003479077764755,0.010184044016957288,0.43756775838169354,0.24357047251465191,0.2923739628107105,0.2430989964232946,0.17798553480337925,0.5287729427746389,0.2921997631781178,0.2751797211429716,0.16527261161741888,1.1019845013112075,0.06824102828888734,0.6948367534541309,25.83876238927627,32.180838031346546,0.35476512462766485,1.2869675390299837,0.8393735940002721,1.3666717298125377,4,0.0726721180563041,0.14468860071769268,0.016265393176848438,0.033285760301282934,0.008910959722086989,0.013068745326010742,0.419243680048362,0.0,0.3705435709289502,1.5123254308379006,0.0,0.14322794229746905,0.15831218065130973,0.044192787938472,0.009382368402912946,0.05371344478868567,0.00871948699136776,0.02104994265900647,0.010025204484540796,0.419243680048362,0.1779077285603953,0.2891139610674094,0.23676629567687843,0.16642639809448304,0.3705435709289502,0.28602895591192284,0.25065937508213887,0.10549532287748133,0.4391749272011438,0.028869838416011935,0.0945261442567685,27.200682917443277,32.180838031346546,0.2668749703633149,0.7106520000968282,0.8667870592920891,1.2908290824578244,4
mission_completion,True,True,False,20.0,80.0,9,4,1.1,0.5,0.341,0.341,0.6160000000000001,0.03627659574468085,0.03627659574468085,0.06553191489361704,7012,7013,7014,0.07687264190980539,0.052412326778416694,0.05251639403093907,0.020109187796944438,0.15727593414116087,0.013695182731823593,0.00821511790629701,0.005309813308350633,0.009585183904033366,0.028544132172613115,3.82526681928005,1.3519569234206639,0.004582333860713368,-0.000465661436172618,0.00024408133204795873,0.004552072862031936,nan,0.4107704197829802,0.42593162057230166,0,0.8015979262647287,0.0022119055912012946,True,True,True,True,normal_completion,6.286088512000788,0.0726300985494953,0.1523542486454428,0.01994978494302632,0.06220344744406249,0.02689104260101555,0.004582333860713368,0.4230514399854519,0.0,0.5425366233437341,2.981685679928436,0.0,0.2041789911307716,0.23929486395054458,0.04470692167934348,0.012123985839532024,0.053667651231289595,0.012806509663512893,0.01990491347841297,0.009327175181917485,0.4230514399854519,0.20058492390069987,0.30559480684234047,0.26843039656470624,0.17289319083708524,0.5425366233437341,0.2991341579070742,0.30004404485659025,0.17189715638676403,1.1043400945810948,0.0607804210701104,0.5314550131491581,25.792658531785936,32.471502615501485,0.3441153115484494,1.097511150477927,0.8372084173482421,1.3710702043911545,4,0.07687264190980535,0.15727593414116106,0.013695182731823607,0.028544132172613115,0.0029673029983120673,0.004582333860713368,0.4107704197829802,0.0,0.42593162057230166,2.778965744490654,0.0,0.11141786222054324,0.11999411160273298,0.052412326778416646,0.00821511790629701,0.05251639403093907,0.00530981330835063,0.020109187796944445,0.009585183904033363,0.4107704197829802,0.17525579126609042,0.30559480684234047,0.20115665038779176,0.1607584574292279,0.42593162057230166,0.2991341579070742,0.1975217093782167,0.13754869373364204,0.5707656081071661,0.03149155978096493,0.13082250765509884,27.20358888600183,32.471502615501485,0.25324575070435856,0.6589872055684264,0.8668330488608232,1.2899395715448947,4
