trial_id,replicate_id,com_scale,payload_mass,payload_pos_x,payload_pos_y,payload_pos_z,true_com_x,true_com_y,true_com_z,measurement_seed,torque_seed,force_seed,position_rms,position_rms_x,position_rms_y,position_rms_z,velocity_rms,attitude_rms,attitude_rms_x,attitude_rms_y,attitude_rms_z,peak_attitude,angular_acc_command_rms,mean_dob_norm,final_com_error,final_com_error_x,final_com_error_y,final_com_error_z,moce_convergence_time,max_motor_utilization,max_servo_angle,saturation_time,terminal_altitude_m,terminal_tilt_rad,terminal_airborne,numerical_success,flight_success,success,failure_reason,runtime_s
0,0,1.0,0.5,0.31,0.31,0.56,0.03297872340425532,0.03297872340425532,0.059574468085106386,7000,7001,7002,0.08594716617555795,0.04876680940000315,0.06776662125480751,0.0204058500989351,0.16801366587224992,0.015203430369081459,0.009020761698968949,0.00870500575113109,0.008601920031638162,0.03121249605210202,4.395715791948099,2.0105894132381734,0.007758632235106849,0.0006833209010925212,-1.8249775657550038e-05,0.007728461273206824,nan,0.4021607714868523,0.37600077935204895,0,0.7947554928485281,0.0096794589091926,True,True,True,True,normal_completion,10.838307306999923
1,1,1.0,0.5,0.31,0.31,0.56,0.03297872340425532,0.03297872340425532,0.059574468085106386,7003,7004,7005,0.0775669522687911,0.048497603026547986,0.05667627468719692,0.021270036965874817,0.15586576998870405,0.012961560389056053,0.008216668147139543,0.006111810554513547,0.007945702236093777,0.029345265598527168,3.9773458931395043,1.52674007703761,0.000575048920231755,-0.0004743091856234949,6.603672879454403e-05,-0.0003183570441234185,nan,0.41145865412579596,0.3080738704021733,0,0.7879456675127741,0.0070150737890649845,True,True,True,True,normal_completion,7.44887473900053
2,2,1.0,0.5,0.31,0.31,0.56,0.03297872340425532,0.03297872340425532,0.059574468085106386,7006,7007,7008,0.07364608860263186,0.04883779826948349,0.050919995310574166,0.021113263703819985,0.14787955965369745,0.015227848614995144,0.00880447453900945,0.005919090156970506,0.01092396325729806,0.029119409256967772,4.089196238192739,1.1816017810937727,0.0067203908668168845,0.0002979075495616601,0.0005907216888021843,0.00668774643516698,nan,0.3991814752733056,0.33746017012095386,0,0.7874834840800525,0.010342976014774314,True,True,True,True,normal_completion,6.933381284999996
3,3,1.0,0.5,0.31,0.31,0.56,0.03297872340425532,0.03297872340425532,0.059574468085106386,7009,7010,7011,0.0726953799280559,0.04432588399178243,0.05363518375756528,0.021049972316457926,0.14448092203119334,0.015262767534794658,0.009119047235122664,0.008408735773026808,0.008893155404253542,0.031350495556355946,4.297917658647304,1.6764235535367176,0.01281884166073056,-0.0008485437711124241,0.00020600179258729173,0.0127890671377094,nan,0.4110890297231732,0.34191066265205905,0,0.7816962819783526,0.01162723063458307,True,True,True,True,normal_completion,6.441260154999327
4,4,1.0,0.5,0.31,0.31,0.56,0.03297872340425532,0.03297872340425532,0.059574468085106386,7012,7013,7014,0.07688053622380847,0.052401142675708945,0.05253991919067923,0.02010706313157688,0.1571562317356945,0.013126557987245902,0.007887506845287776,0.0050690427461412575,0.009186869216216182,0.02935353750446413,3.7618465603767692,1.3262605377254992,0.0044695670043135224,-0.0004712914245896191,0.00024505749778486186,0.004437889185405136,nan,0.39908640283512126,0.3889917079923295,0,0.8015294967084122,0.002088116131427699,True,True,True,True,normal_completion,6.396264125000016
5,0,1.1,0.5,0.341,0.341,0.6160000000000001,0.03627659574468085,0.03627659574468085,0.06553191489361704,7000,7001,7002,0.0858524362796945,0.048706369149221065,0.06768761257320412,0.02041366022051485,0.16792061974571354,0.016153671684184013,0.009523802671706818,0.009059584866525364,0.00938947355270906,0.033700640613379594,4.499271098327154,2.03427346384191,0.007875852971312795,0.0006691553647012738,-1.887380611169387e-05,0.007847352095010834,nan,0.4161219410448907,0.41506473852467746,0,0.7947667891332595,0.010424758825734062,True,True,True,True,normal_completion,6.287028063999969
6,1,1.1,0.5,0.341,0.341,0.6160000000000001,0.03627659574468085,0.03627659574468085,0.06553191489361704,7003,7004,7005,0.07753735256835567,0.048427110062982934,0.05669506020281559,0.02127266327605323,0.15603981808378983,0.013440629260472823,0.00845596885213521,0.006379089950852738,0.008273712412703629,0.031807373633128855,4.02160505231542,1.5434377608999763,0.0004935431883436497,-0.0004661158923769809,7.128011043021354e-05,-0.00014573949187191015,nan,0.41940464122623766,0.3298559855404169,0,0.7879704829163873,0.008395535127206106,True,True,True,True,normal_completion,6.410599699999693
7,2,1.1,0.5,0.341,0.341,0.6160000000000001,0.03627659574468085,0.03627659574468085,0.06553191489361704,7006,7007,7008,0.07345480825668656,0.04867545996817965,0.05079877295310678,0.02111381347297153,0.14769150685076327,0.01628747960468768,0.009027566795187085,0.00632192768461529,0.01199242510846105,0.03105696973442866,4.149200814292276,1.2108103451265428,0.006843089983486905,0.0002934114299432966,0.0006000469603580985,0.00681041363650127,nan,0.4149255320033378,0.35957200241389675,0,0.7875006160781103,0.009191893979273683,True,True,True,True,normal_completion,6.2723431980002715
8,3,1.1,0.5,0.341,0.341,0.6160000000000001,0.03627659574468085,0.03627659574468085,0.06553191489361704,7009,7010,7011,0.07267211805630401,0.04419278793847192,0.053713444788685616,0.021049942659006473,0.14468860071769243,0.01626539317684848,0.009382368402912924,0.008719486991367752,0.010025204484540806,0.033285760301282934,4.362507249547403,1.7029469192667748,0.013068745326010742,-0.0008547734093904621,0.00020437832617940105,0.013039160107710723,nan,0.419243680048362,0.3705435709289502,0,0.7817041455178712,0.011573233307136154,True,True,True,True,normal_completion,6.310309651999887
9,4,1.1,0.5,0.341,0.341,0.6160000000000001,0.03627659574468085,0.03627659574468085,0.06553191489361704,7012,7013,7014,0.07687264190980539,0.052412326778416694,0.05251639403093907,0.020109187796944438,0.15727593414116087,0.013695182731823593,0.00821511790629701,0.005309813308350633,0.009585183904033366,0.028544132172613115,3.82526681928005,1.3519569234206639,0.004582333860713368,-0.000465661436172618,0.00024408133204795873,0.004552072862031936,nan,0.4107704197829802,0.42593162057230166,0,0.8015979262647287,0.0022119055912012946,True,True,True,True,normal_completion,6.286088512000788
10,0,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7000,7001,7002,0.08571030557195591,0.04863837502711544,0.0675529902393502,0.020424457537031124,0.16775516640638277,0.017419185729996213,0.010090611534658891,0.009528413197398061,0.010526962158778871,0.03724871679592043,4.630264204011338,2.061118095240766,0.00814361772732077,0.0006507991661299922,-2.397354423414738e-05,0.008117536289002622,nan,0.43159554482440043,0.4654068554059176,0,0.7947962575185958,0.011334626122934332,True,True,True,True,normal_completion,6.340617832999669
11,1,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7003,7004,7005,0.077482367650961,0.048321673482067805,0.0567088039488114,0.021275448841008897,0.1562160677161333,0.014042396808413475,0.008849896559113684,0.006610888901132718,0.008669739728204605,0.03514015590787645,4.081722524861762,1.5629383155778844,0.0004868945621600981,-0.0004551717754854717,7.29639882418448e-05,0.00015672021529566926,nan,0.42886628652483716,0.3557567298438614,0,0.7879926396768904,0.009565054976013258,True,True,True,True,normal_completion,6.321991560000242
12,2,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7006,7007,7008,0.07316693708814082,0.048456672362016326,0.050593680789664405,0.021109975144791213,0.1474152890245829,0.017674118226115376,0.009351059733838754,0.00688807355114793,0.013322408929276244,0.03572648873008462,4.242244080090413,1.252161617394118,0.007127580850940893,0.00028354653046883116,0.0006089175466233096,0.007095860030551099,nan,0.4306491269024282,0.38265766265982154,0,0.7875149615115581,0.008741095366856608,True,True,True,True,normal_completion,6.4625886129997525
13,3,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7009,7010,7011,0.07254872579802345,0.04402338099791708,0.05368517617715801,0.021051398985733293,0.14472828932134035,0.017558834462119564,0.009624294437994556,0.009092501992471155,0.011533084225644634,0.03548438633442054,4.434315521872667,1.7357082807663593,0.013468447495085214,-0.000863315035363868,0.00019164953247964578,0.013439383748307887,nan,0.4236387556483162,0.40756550821259535,0,0.7816959864194463,0.011413130609433535,True,True,True,True,normal_completion,6.316060053999536
14,4,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7012,7013,7014,0.0768417414418746,0.052411003709839275,0.052470754712524624,0.020113672410705996,0.15734099644880353,0.01440826674135398,0.008554538908240993,0.0056166700373826515,0.010142535789858796,0.030357922376080253,3.899088368919818,1.3793688635821222,0.004859680721217916,-0.00046068807861879973,0.00023568154285368015,0.004832051056927453,nan,0.42145883609639223,0.4699865438481237,0,0.801684839473606,0.0030284030494761908,True,True,True,True,normal_completion,7.493711789999907
15,0,1.25,0.5,0.3875,0.3875,0.7000000000000001,0.04122340425531915,0.04122340425531915,0.07446808510638299,7000,7001,7002,0.08562017045590753,0.048598350997595026,0.06746539002222737,0.02043122655060042,0.16766470967850228,0.018221522680821174,0.010416756928640915,0.009811087959204582,0.011280851783178558,0.03971628363427917,4.710125015571712,2.076770261650318,0.008355914679243313,0.000640637255045394,-3.089669217757468e-05,0.008331262775153253,nan,0.44053978341946987,0.4956130425576237,0,0.7948197613061816,0.01197148432126273,True,True,True,True,normal_completion,10.2681783120006
16,1,1.25,0.5,0.3875,0.3875,0.7000000000000001,0.04122340425531915,0.04122340425531915,0.07446808510638299,7003,7004,7005,0.07743886887010511,0.04824207790584584,0.05671690450066938,0.021276115131047386,0.15631239582310538,0.014454660486908279,0.009147688649906895,0.006727777473108429,0.008943937188312883,0.037083497140571436,4.12648981930686,1.5757445106913592,0.0005798702293896627,-0.0004487708444401578,7.391359255780328e-05,0.0003597095952961038,nan,0.4355757347349495,0.37123399102692617,0,0.7879935292748893,0.010010900413408142,True,True,True,True,normal_completion,6.983080973000142
17,2,1.25,0.5,0.3875,0.3875,0.7000000000000001,0.04122340425531915,0.04122340425531915,0.07446808510638299,7006,7007,7008,1.781210910815309,0.1469336161395027,1.6507636631951899,0.6527650032975646,0.3666661740216082,3.1439810434696716,3.1415116314783393,0.0007079627208059226,0.12458318414505182,3.146855794878993,69.36259312753722,0.0,0.09457395950369442,-0.04122340425531915,-0.04122340425531915,-0.07446808510638299,nan,0.0,0.0006334209676030073,0,0.049548746315937836,3.141126009597696,False,True,False,False,loss_of_flight,7.482282520000808
18,3,1.25,0.5,0.3875,0.3875,0.7000000000000001,0.04122340425531915,0.04122340425531915,0.07446808510638299,7009,7010,7011,0.9603977220703771,0.6534793235024953,0.26312406576997205,0.6527589787397565,0.3669184136222248,4.1536176088067265,3.1415101607474067,0.0006943354057470783,2.7172509394622364,4.156273603147007,69.4411314724216,0.0,0.09457395950369442,-0.04122340425531915,-0.04122340425531915,-0.07446808510638299,nan,0.0,0.0006000933626645438,0,0.04905462634222087,3.1400417063134465,False,True,False,False,loss_of_flight,7.470821604999401
19,4,1.25,0.5,0.3875,0.3875,0.7000000000000001,0.04122340425531915,0.04122340425531915,0.07446808510638299,7012,7013,7014,1.1790727013941464,0.2945188044302387,0.9366771569182145,0.6527687283544482,0.3668030205056746,3.141534941134958,3.1415264376799312,0.0006895412001356659,0.0072768305440498076,3.1444393036124505,52.22556378594734,0.0,0.09457395950369442,-0.04122340425531915,-0.04122340425531915,-0.07446808510638299,nan,0.0,0.0006394524126745974,0,0.049514888844840205,3.139842221770402,False,True,False,False,loss_of_flight,7.570506635000129
20,0,1.3,0.5,0.403,0.403,0.7280000000000001,0.04287234042553192,0.04287234042553192,0.0774468085106383,7000,7001,7002,2.567199003948307,0.12003861095011886,2.4789713482407914,0.6563554771277369,0.36677462123854215,3.1427898532298704,3.141520452340157,0.0007060413919246374,0.08931299232827536,3.1455124759487356,63.049736062823094,0.0,0.09835691788384218,-0.04287234042553192,-0.04287234042553192,-0.0774468085106383,nan,0.0,0.0006703875877155884,0,0.04578265651862496,3.1405452104833924,False,True,False,False,loss_of_flight,7.513842704000126
21,1,1.3,0.5,0.403,0.403,0.7280000000000001,0.04287234042553192,0.04287234042553192,0.0774468085106383,7003,7004,7005,0.07736949072411993,0.04816326721472269,0.05668919248079103,0.021276119053735425,0.15641982356798015,0.014994938746491685,0.009525583929684635,0.006857756082182351,0.009331806916501326,0.03916531389776521,4.185887751361104,1.5914123559115023,0.0007880590208742459,-0.00044178290436284323,7.51119997021571e-05,0.0006482461517778176,nan,0.4421848564980351,0.38991716515463726,0,0.7879853169048531,0.010479175864678947,True,True,True,True,normal_completion,6.233799429000101
22,2,1.3,0.5,0.403,0.403,0.7280000000000001,0.04287234042553192,0.04287234042553192,0.0774468085106383,7006,7007,7008,1.5819869030796152,0.2819033847671192,1.4115288157492245,0.6563531408333967,0.3666816342246823,3.1430691633499324,3.141509161085905,0.0007162636959079248,0.0990123395385625,3.145870432416298,65.28585901450084,0.0,0.09835691788384218,-0.04287234042553192,-0.04287234042553192,-0.0774468085106383,nan,0.0,0.0006520270886559716,0,0.04605515060450363,3.141205429926457,False,True,False,False,loss_of_flight,7.4988418090006235
23,3,1.3,0.5,0.403,0.403,0.7280000000000001,0.04287234042553192,0.04287234042553192,0.0774468085106383,7009,7010,7011,1.588109770961986,1.4202125116204616,0.2725502172807256,0.656357711558157,0.3669698135897609,4.355821775176748,3.141515060452437,0.0006997935276346282,3.0172944788905616,4.358584119791413,69.40738996262618,0.0,0.09835691788384218,-0.04287234042553192,-0.04287234042553192,-0.0774468085106383,nan,0.0,0.0006541884217771271,0,0.045915776965702745,3.1398662657222705,False,True,False,False,loss_of_flight,7.482179005999569
24,4,1.3,0.5,0.403,0.403,0.7280000000000001,0.04287234042553192,0.04287234042553192,0.0774468085106383,7012,7013,7014,3.722743546521565,3.6117584001621417,0.6190451278047555,0.6563565355562156,0.3668233174749477,4.233534379279042,3.1415127310375675,0.0006958668853155282,2.8379060268155056,4.23653948205144,69.44110631397743,0.0,0.09835691788384218,-0.04287234042553192,-0.04287234042553192,-0.0774468085106383,nan,0.0,0.0007073700138857783,0,0.0458679505444424,3.1400691954227535,False,True,False,False,loss_of_flight,7.48163662800016
25,0,1.35,0.5,0.41850000000000004,0.41850000000000004,0.7560000000000001,0.04452127659574469,0.04452127659574469,0.08042553191489363,7000,7001,7002,1.5869882009998373,0.3036947563327928,1.4109670501454188,0.6599038024535098,0.36672915444700865,3.14315274008227,3.141509943366127,0.0006963111673968616,0.10160678308658834,3.145672969196746,65.90328800580403,0.0,0.10213987626398997,-0.04452127659574469,-0.04452127659574469,-0.08042553191489363,nan,0.0,0.0006386121409919642,0,0.042184063045594404,3.14063512414961,False,True,False,False,loss_of_flight,7.443298484000479
26,1,1.35,0.5,0.41850000000000004,0.41850000000000004,0.7560000000000001,0.04452127659574469,0.04452127659574469,0.08042553191489363,7003,7004,7005,3.6988804321980537,1.1375670128970143,3.457191656674819,0.6599118061409777,0.36671618518072785,3.149816708117655,3.1415278160072218,0.0006949520891264271,0.22835891274839845,3.1527750821729037,69.4410388952372,0.0,0.10213987626398997,-0.04452127659574469,-0.04452127659574469,-0.08042553191489363,nan,0.0,0.0006024231342748177,0,0.04225474937972896,3.1399946603890276,False,True,False,False,loss_of_flight,7.478199360999497
27,2,1.35,0.5,0.41850000000000004,0.41850000000000004,0.7560000000000001,0.04452127659574469,0.04452127659574469,0.08042553191489363,7006,7007,7008,1.5524335044476583,0.28970058714522817,1.3750149648945642,0.6598918107200208,0.3666014979555728,3.1430788584899894,3.1415355024827885,0.0007047889577798105,0.09848299649906364,3.1459923693864793,65.1634284199732,0.0,0.10213987626398997,-0.04452127659574469,-0.04452127659574469,-0.08042553191489363,nan,0.0,0.0006474192081542834,0,0.04230210798359177,3.141105245482507,False,True,False,False,loss_of_flight,7.441126707999501
28,3,1.35,0.5,0.41850000000000004,0.41850000000000004,0.7560000000000001,0.04452127659574469,0.04452127659574469,0.08042553191489363,7009,7010,7011,1.2070950890925967,0.9791714841900417,0.25057723200491094,0.6599339432559076,0.3669264660536699,4.3663558432155245,3.1415281490855818,0.0006997590377703927,3.032468260084928,4.369105341209034,67.19293415770153,0.0,0.10213987626398997,-0.04452127659574469,-0.04452127659574469,-0.08042553191489363,nan,0.0,0.0006534524118142191,0,0.04183261666980373,3.1400053125673377,False,True,False,False,loss_of_flight,7.497028239999963
