mission_status,mission_eligible,mission_completion,mission_loss,lissajous_start_s,lissajous_end_s,trial_id,replicate_id,com_scale,payload_x_factor,payload_y_factor,payload_mass,payload_pos_x,payload_pos_y,payload_pos_z,true_com_x,true_com_y,true_com_z,measurement_seed,torque_seed,force_seed,position_rms,position_rms_x,position_rms_y,position_rms_z,velocity_rms,attitude_rms,attitude_rms_x,attitude_rms_y,attitude_rms_z,peak_attitude,angular_acc_command_rms,mean_dob_norm,final_com_error,final_com_error_x,final_com_error_y,final_com_error_z,moce_convergence_time,max_motor_utilization,max_servo_angle,saturation_time,terminal_altitude_m,terminal_tilt_rad,terminal_airborne,numerical_success,flight_success,success,failure_reason,runtime_s,mission_position_rms,mission_velocity_rms,mission_attitude_rms,mission_peak_attitude_error,mission_com_error_rms,mission_final_com_error,mission_max_motor_utilization,mission_motor_saturation_fraction,mission_max_servo_angle,mission_max_servo_rate,mission_servo_angle_contact_fraction,mission_mean_dob_norm,mission_dob_rms,mission_position_rms_x,mission_attitude_rms_x,mission_position_rms_y,mission_attitude_rms_y,mission_position_rms_z,mission_attitude_rms_z,mission_motor_1_max_utilization,mission_servo_1_max_angle,mission_motor_2_max_utilization,mission_servo_2_max_angle,mission_motor_3_max_utilization,mission_servo_3_max_angle,mission_motor_4_max_utilization,mission_servo_4_max_angle,mission_allocation_force_residual_rms,mission_allocation_force_residual_max,mission_allocation_torque_residual_rms,mission_allocation_torque_residual_max,mission_realized_force_residual_rms,mission_realized_force_residual_max,mission_realized_torque_residual_rms,mission_realized_torque_residual_max,mission_allocation_min_singular,mission_allocation_condition_max,mission_allocation_rank_min,steady_position_rms,steady_velocity_rms,steady_attitude_rms,steady_peak_attitude_error,steady_com_error_rms,steady_final_com_error,steady_max_motor_utilization,steady_motor_saturation_fraction,steady_max_servo_angle,steady_max_servo_rate,steady_servo_angle_contact_fraction,steady_mean_dob_norm,steady_dob_rms,steady_position_rms_x,steady_attitude_rms_x,steady_position_rms_y,steady_attitude_rms_y,steady_position_rms_z,steady_attitude_rms_z,steady_motor_1_max_utilization,steady_servo_1_max_angle,steady_motor_2_max_utilization,steady_servo_2_max_angle,steady_motor_3_max_utilization,steady_servo_3_max_angle,steady_motor_4_max_utilization,steady_servo_4_max_angle,steady_allocation_force_residual_rms,steady_allocation_force_residual_max,steady_allocation_torque_residual_rms,steady_allocation_torque_residual_max,steady_realized_force_residual_rms,steady_realized_force_residual_max,steady_realized_torque_residual_rms,steady_realized_torque_residual_max,steady_allocation_min_singular,steady_allocation_condition_max,steady_allocation_rank_min
mission_completion,True,True,False,20.01,80.01,0,0,nan,-1.25,-1.25,0.5,-0.3875,-0.3875,0.56,-0.04122340425531915,-0.04122340425531915,0.059574468085106386,7000,7001,7002,0.070732653045513,0.04464704449932916,0.051043444361866475,0.020107620744605346,0.14154714184345094,0.014933187039506973,0.00850735622041467,0.0071520665274101,0.009973610664316665,0.04009736370174369,4.233172557166229,1.8410291557171656,0.007080177222268174,0.00032570400707109676,0.000879610717331121,0.007017771112287657,nan,0.432769721383152,0.387192762157131,0,0.7794269079181265,0.015287996124486319,True,True,True,True,normal_completion,6.313433789000555,0.07632377290156346,0.1486615616166222,0.03767287983544208,0.2619285047273727,0.02202182729907519,0.007087638282035898,0.454853459057627,0.0,0.6787300548318638,8.031416523622225,0.0,0.20119609530669297,0.2509999202443191,0.04577427527016803,0.01149592297226885,0.058213498031396325,0.012763372171072294,0.01847221373763666,0.03352888248859507,0.2283940368389046,0.6787300548318638,0.36960651600731786,0.2977324660000683,0.454853459057627,0.2629242739910938,0.37766636985236524,0.2924556409211438,0.5177612434518789,5.67289350112935,0.182826677307175,4.015764227969989,24.225108898563494,31.46374661529991,0.3885935189569936,2.7671888983246413,0.8202480501208608,1.4164483862824166,4,0.07073507190687589,0.14154817438994555,0.014935826964884522,0.04009736370174369,0.003993762611474256,0.007087638282035898,0.432769721383152,0.0,0.387192762157131,3.144888539415898,0.0,0.15402023485885125,0.1670211643087475,0.044641250511946506,0.008507827698443078,0.05105245091363508,0.007157412483499119,0.020106128570946173,0.009973326502207142,0.14678027081729214,0.387192762157131,0.2966489724784392,0.2288928083922184,0.432769721383152,0.13829610148147092,0.2926519086799949,0.23070862067107456,0.10255965318040267,0.36526968057877696,0.02801605122753693,0.12920439135550243,25.938434315185386,31.46374661529991,0.2668340079940596,0.6975194670873249,0.8483041802806806,1.33569593216466,4
mission_completion,True,True,False,20.01,80.01,1,1,nan,-1.25,-1.25,0.5,-0.3875,-0.3875,0.56,-0.04122340425531915,-0.04122340425531915,0.059574468085106386,7003,7004,7005,0.07260617816065063,0.04442702050563913,0.05417985086349333,0.019037875839948145,0.15312479482821656,0.01548363823107255,0.009739976727307574,0.00974089080161291,0.007070428036073253,0.035983578101744795,4.521143403403187,1.8023077649369794,0.0009936923512558677,0.0007412125870101816,-0.0003150361714124167,-0.0005820486238312869,nan,0.4358506048803482,0.42829394474648075,0,0.7972427718717997,0.006887260470276344,True,True,True,True,normal_completion,6.3643630220003615,0.06760806263287254,0.145816696717896,0.0196694429323447,0.0552151314437111,0.026944821520404318,0.000992017801289659,0.45539677444027127,0.0,0.5023709118997676,3.6450862105540005,0.0,0.19195033805049522,0.22177917019245727,0.03994058204502732,0.011681233359519663,0.05135345999048308,0.012872839331677448,0.018396254669924273,0.00920466077647775,0.15223959084618247,0.5023709118997676,0.28727073448314727,0.300439210489132,0.45539677444027127,0.17989985831543825,0.29651402764570367,0.30086078676851097,0.14645877647046157,1.1333695969368591,0.06581851181862432,0.6487898997747699,24.310771903119512,31.656874468543283,0.3356329848370521,1.0719544438549866,0.8136232185704197,1.4347031156573378,4,0.07262823016900463,0.1530844532406335,0.0154780143601425,0.035983578101744795,0.0033011131543744555,0.000992017801289659,0.4358506048803482,0.0,0.42829394474648075,2.9099425067385987,0.0,0.15160521166106963,0.1682453976402238,0.044430093511365246,0.009735309457535802,0.05420576288504072,0.009737014884751928,0.019041057693941193,0.007069881147014476,0.14305480791522115,0.42829394474648075,0.27907610305242,0.24815547271265642,0.4358506048803482,0.17750601479577155,0.28424035613467746,0.2289297993100081,0.1434723501889214,1.1333695969368591,0.04089837731955627,0.27496750175282236,26.090822140597194,31.656874468543283,0.2741163954303437,0.8452884804351574,0.8468887312400936,1.3395881089902966,4
mission_completion,True,True,False,20.01,80.01,2,2,nan,-1.25,-1.25,0.5,-0.3875,-0.3875,0.56,-0.04122340425531915,-0.04122340425531915,0.059574468085106386,7006,7007,7008,0.07739278126817886,0.04787154220335254,0.05709039162310875,0.02094385885687948,0.14773767138516739,0.01692977505856174,0.009727434372335647,0.007281683562472158,0.011788612664831496,0.04238268280006171,4.282944654691817,1.5345373129323865,0.005376493260411611,0.00036174841694035925,0.00033979685858217396,0.005353536770863754,nan,0.4327044344622167,0.3570931282336235,0,0.767109039354558,0.0045028748040426315,True,True,True,True,normal_completion,6.398552525000014,0.07551928365684626,0.15131525505907403,0.021158481168746354,0.04582386414040452,0.024742205854736393,0.005368951446489226,0.4364950101858653,0.0,0.5334071941255669,2.8933003841688953,0.0,0.195024617681758,0.22622843452455577,0.04177229444771578,0.011295538326619186,0.05974171957677396,0.013563109253323678,0.019727254310385987,0.011667656434026357,0.1553136777487196,0.5334071941255669,0.296055011241249,0.2953240718897112,0.4364950101858653,0.2109772793976964,0.29421921411783847,0.27189743272097916,0.15488803963560094,0.8995196911551058,0.0629780241086785,0.4932483340456295,24.220873173740856,31.235987067916383,0.3345661006716449,1.058126636736758,0.8155441293150911,1.4289249600180771,4,0.07739411465805418,0.14779006553764998,0.016928345539118483,0.04238268280006171,0.0038191699798329755,0.005368951446489226,0.4327044344622167,0.0,0.3570931282336235,1.835666755769165,0.0,0.12991016201089017,0.1433879822741359,0.047882871736205826,0.009725594928485399,0.05708341715004294,0.0072804542186037675,0.020941897346522385,0.011788836768300184,0.1445355771986825,0.3570931282336235,0.294946762347765,0.26076818995939555,0.4327044344622167,0.1277423922911678,0.291917174105091,0.27189743272097916,0.12461469130978697,0.4395568101333822,0.03232405052031095,0.131353616212491,26.096400059124154,31.235987067916383,0.26514669635846794,0.7545059246930169,0.8456507014712715,1.344158485311586,4
mission_completion,True,True,False,20.01,80.01,3,3,nan,-1.25,-1.25,0.5,-0.3875,-0.3875,0.56,-0.04122340425531915,-0.04122340425531915,0.059574468085106386,7009,7010,7011,0.07290647869509245,0.03904637463262261,0.05879817495136917,0.018262253041589314,0.14464761540466628,0.014497595330689759,0.009036295299185941,0.008495326273423172,0.00750700134184304,0.0325823985076433,4.4452955303271295,1.9396890505944384,0.009848306454304607,0.0017974644155546796,7.407879158485148e-05,0.009682601614511968,nan,0.43611337490899843,0.405383195851114,0,0.7941273383842044,0.029187439679043317,True,True,True,True,normal_completion,6.416015783999683,0.07721162561600936,0.1560648485360903,0.02020646012443708,0.054914020613247946,0.024920981497942456,0.009860974652090031,0.45101470640163943,0.0,0.6693826997056948,3.048290153054934,0.0,0.20602850772887643,0.23358552568336105,0.042038111217015395,0.011218056819282504,0.06206573377631191,0.013144408177152995,0.018500730428299604,0.010472858522495592,0.15863400650224319,0.6693826997056948,0.2943437087320521,0.33803754479625564,0.45101470640163943,0.2507816513625619,0.2871044946319309,0.3028375416092125,0.18807787351565905,1.9984428417227793,0.06777336669252292,0.6906772684830648,24.290667095494396,31.547903513058348,0.33251750511754097,1.050065234963086,0.8238153351141156,1.403618109659943,4,0.07290878374054915,0.1445661411730874,0.014513525373159763,0.0325823985076433,0.004505040762924843,0.009860974652090031,0.43611337490899843,0.0,0.405383195851114,2.273804001296201,0.0,0.16560309665242362,0.18423569147553265,0.03905298442452099,0.00904540771331016,0.05879882883246814,0.008509570432418281,0.018255215199892903,0.007510674344761183,0.15383413839083024,0.405383195851114,0.2893948190319437,0.19176920513080714,0.43611337490899843,0.1615427845756883,0.27902684887089285,0.20382505274540139,0.13354988680643226,0.7450344898640111,0.03305965109071386,0.1310156496071544,26.1110980337775,31.547903513058348,0.27866392499870324,0.6566682664140102,0.8484140015096345,1.3348416706928408,4
mission_completion,True,True,False,20.01,80.01,4,4,nan,-1.25,-1.25,0.5,-0.3875,-0.3875,0.56,-0.04122340425531915,-0.04122340425531915,0.059574468085106386,7012,7013,7014,0.07712830762140115,0.04818205360852136,0.05636315038825721,0.021224062403737906,0.1610090594960268,0.01578549437419139,0.008885990287220893,0.007088729830876835,0.010953123693169968,0.037398550171581266,4.2469591353920215,1.7399781197219184,0.005679747378873266,-0.0005721675669948037,0.0011788057881323075,0.005526533405034548,nan,0.43171336058589027,0.47885880157915467,0,0.7926394894201637,0.005523537845094011,True,True,True,True,normal_completion,6.465011935999428,0.0752683702608015,0.1556144893386344,0.019260610572072654,0.049517122081433156,0.019248552081155258,0.0056870921802293405,0.43646435468821076,0.0,0.6408314312427972,3.1573912372313178,0.0,0.1986188111287828,0.23337588117057753,0.04470714215505709,0.012511486491697591,0.05743073846467542,0.010095016864415336,0.0191913856051791,0.010607754705133204,0.15390084828980463,0.6408314312427972,0.2960391787296409,0.3126567232051324,0.43646435468821076,0.25936147749161065,0.29374980504908454,0.3325863076156562,0.17486109044661938,1.305310353089041,0.06217628205757786,0.4113235584119924,24.25117489608408,31.023102926921784,0.3204983479579602,1.039328906213894,0.8059778144521405,1.457687330971341,4,0.07713058123075373,0.16103790979890106,0.01578186946737954,0.037398550171581266,0.0020106545304681327,0.0056870921802293405,0.43171336058589027,0.0,0.47885880157915467,2.2451390962860356,0.0,0.1486311425611343,0.16412868561614372,0.048170487674967566,0.008886163241493758,0.05637479476773656,0.007086719734045009,0.02122765161399816,0.010949059783471306,0.14575666643476257,0.47885880157915467,0.29043762361580827,0.17611264267362098,0.43171336058589027,0.17282848745454726,0.29374980504908454,0.17731743301429204,0.15771419594771346,0.9489595775771164,0.04143249864304029,0.2828063890960092,25.96286896406148,31.023102926921784,0.26519012063478126,0.7029642239031524,0.8477385201154414,1.3361545692360572,4
mission_completion,True,True,False,20.01,80.01,5,0,nan,-1.25,-0.625,0.5,-0.3875,-0.19375,0.56,-0.04122340425531915,-0.020611702127659576,0.059574468085106386,7000,7001,7002,0.07085599229846087,0.04484678421582224,0.05103621791718789,0.020115716512427103,0.14164257014093584,0.014206750971656145,0.008121731473066699,0.006985728163000256,0.009331069235769058,0.03765799689298604,4.153647033746437,1.8511980786051605,0.006201367276704748,0.0003244128292872739,0.000864642088170036,0.006132218723769012,nan,0.40456033324679247,0.30406381463903526,0,0.7793567577794113,0.014320537925911182,True,True,True,True,normal_completion,6.355037399000139,0.07493985717147458,0.14757168418381547,0.01825281703398619,0.06217377151617912,0.023056364920132615,0.006208759674528291,0.40456033324679247,0.0,0.5244219128219956,3.0539353410360017,0.0,0.18699185208514055,0.21307045136594038,0.04483584023977207,0.009885839502898565,0.057138764297830755,0.011833388227522623,0.018463240165030252,0.00976762151477194,0.1819499703106402,0.5244219128219956,0.32908806651948963,0.21220382217659664,0.40456033324679247,0.2742529716235214,0.25585888265139745,0.2498299630031689,0.16196714932009143,0.9699571959105668,0.055108752380961495,0.5127849796898384,24.21792377423544,31.476440153612753,0.3234266882738149,1.240478926253558,0.8554585828626594,1.326001964605099,4,0.070858479214002,0.14164661159923703,0.014208955110398153,0.03765799689298604,0.003530834028423419,0.006208759674528291,0.40456033324679247,0.0,0.30406381463903526,1.1135433297782567,0.0,0.15460275011630892,0.1676229657520594,0.04484125229778145,0.00812131837442574,0.051045121435969114,0.006990751138688113,0.020114217520824137,0.009331023079354992,0.18194948676774614,0.30406381463903526,0.32908806651948963,0.21220382217659664,0.40456033324679247,0.1463817313793557,0.2555876576347045,0.2498299630031689,0.09584165149940539,0.36152081017313265,0.025661800302529073,0.088538850615479,25.939157121854624,31.476440153612753,0.2668902166066124,0.6860536371277208,0.884401071703861,1.249980824359448,4
mission_completion,True,True,False,20.01,80.01,6,1,nan,-1.25,-0.625,0.5,-0.3875,-0.19375,0.56,-0.04122340425531915,-0.020611702127659576,0.059574468085106386,7003,7004,7005,0.07294124714743058,0.04463170269128996,0.05446247340048845,0.019033539907225294,0.15356351458402487,0.01495624242652892,0.009097055985826743,0.009696876788005546,0.006848601351376568,0.03681262970400716,4.422738207553677,1.7940505411635148,0.0015289779931576444,0.0007445020495501359,-0.0002998784133144139,-0.001301369793334721,nan,0.3988108210968133,0.3537005096903423,0,0.7972539874395437,0.0050832270369860245,True,True,True,True,normal_completion,6.3725855650000085,0.06783780456398998,0.1459549713890314,0.01863098056317888,0.05300398431530553,0.027270959954191328,0.0015292204574224705,0.41213630028541326,0.0,0.40338619826102073,3.8340668355489047,0.0,0.1898905618661147,0.2192459537271833,0.0401254335250634,0.010965105968217093,0.05151063214789423,0.01276305177312091,0.01840032848109358,0.007999024771055175,0.1866828600650939,0.40338619826102073,0.32368520718531485,0.2594666433758642,0.41213630028541326,0.196769186573574,0.26207658832794556,0.32743843607495204,0.13269688653594744,0.8687195484623089,0.06294691474437736,0.6613618391054383,24.31139696101329,31.69150038074797,0.33296557321682513,1.0753510513657754,0.8477294869454907,1.3469236464143493,4,0.07296416080702965,0.1535230475851793,0.014948846250864166,0.03681262970400716,0.0036052202298058546,0.0015292204574224705,0.3988108210968133,0.0,0.3537005096903423,1.8995029673128228,0.0,0.15102643385995498,0.1677926308510397,0.04463468866681151,0.009092460601675897,0.05448960077690809,0.009691424678844008,0.019036720753955152,0.006846272864357698,0.18137166006013328,0.3537005096903423,0.3172776162541224,0.21432504794824198,0.3988108210968133,0.19235458477643935,0.25536968577636976,0.2517857189833435,0.12389179079220282,0.8687195484623089,0.03497948737398765,0.18124116953729832,26.091898580154087,31.69150038074797,0.2723598912870616,0.8454929898837099,0.8832527485848125,1.2526555871036762,4
mission_completion,True,True,False,20.01,80.01,7,2,nan,-1.25,-0.625,0.5,-0.3875,-0.19375,0.56,-0.04122340425531915,-0.020611702127659576,0.059574468085106386,7006,7007,7008,0.07763262656040405,0.047992339118984845,0.057314567478673556,0.02094278986401012,0.14813019275432476,0.01619585825425406,0.009209339753359363,0.007341766848675681,0.011117209426774858,0.03812338509267299,4.219716576384042,1.5192423776395998,0.004795357011048709,0.00040357285564476125,0.0003447145178218543,0.004765894429674622,nan,0.3999947001528881,0.31119486285396997,0,0.7671698323497937,0.00522236118320237,True,True,True,True,normal_completion,6.323943041000348,0.07567005914670204,0.1512962003477099,0.01983615285445273,0.04371634734503713,0.0250618353663128,0.00478814295437642,0.40387939508835563,0.0,0.38440667143041174,3.110764850026303,0.0,0.19241163623944565,0.2232902185681811,0.04197019398939579,0.010627078133151528,0.059791358700407936,0.013510621224243548,0.019734591268050706,0.009899559816078974,0.19219436902103593,0.38440667143041174,0.33340142917048,0.2614519796445385,0.40387939508835563,0.21850457935087006,0.25438447758071736,0.31119486285396997,0.1365678459768383,0.635995243032454,0.059433345871717815,0.5049192653130256,24.2216070724497,31.23423717268984,0.33214368780967685,1.0473700164856528,0.8525460832061099,1.3338001837620752,4,0.07763375971891018,0.148182991230144,0.016194972722834603,0.03812338509267299,0.0037396455854886643,0.00478814295437642,0.3999947001528881,0.0,0.31119486285396997,1.0879924746755434,0.0,0.12855176685511288,0.14198589265206696,0.048003241297114384,0.00920715949675017,0.05730768606526614,0.007342202636068254,0.020940835487377126,0.01111743747208287,0.18013424441920833,0.2856931411399767,0.33340142917048,0.2367823634214017,0.3999947001528881,0.13581647027455443,0.2525431721226404,0.31119486285396997,0.11825282410917128,0.45625175395296935,0.029764125860961773,0.0994919159383348,26.096709061047907,31.23423717268984,0.2644271554487813,0.7545197807852773,0.8816956776539859,1.2575108058475954,4
mission_completion,True,True,False,20.01,80.01,8,3,nan,-1.25,-0.625,0.5,-0.3875,-0.19375,0.56,-0.04122340425531915,-0.020611702127659576,0.059574468085106386,7009,7010,7011,0.07333980492277148,0.03921249080654402,0.05922552670891412,0.018260463764882263,0.14500382465815134,0.013873484914236818,0.008411472355934124,0.008475650099930655,0.007062865697042357,0.031225446330857925,4.342950523113276,1.9256101818040527,0.009141666738806129,0.0018053980190155736,5.25966430504482e-05,0.008961464297170901,nan,0.4051617395652377,0.34330973014337923,0,0.7941533609191622,0.026254373755709937,True,True,True,True,normal_completion,6.327135583000199,0.07721499642835561,0.1557675834741613,0.018786556645545575,0.04940713610954943,0.025153613963449017,0.009153763330843915,0.4059115438855364,0.0,0.5291853487254864,3.3339120480002356,0.0,0.20355390866341333,0.23041533176242535,0.042043539096720574,0.010470951981486735,0.06206715529908178,0.012968111095084988,0.018497695173538817,0.00866729310818697,0.19625749031923795,0.5291853487254864,0.3279607686781935,0.30974171949352786,0.4059115438855364,0.25678072184816514,0.2485637053369414,0.31891681320712617,0.14980213593920833,0.9021882042123792,0.061782572533495825,0.6759000928141059,24.290385273772802,31.527617951044103,0.32886703700552844,1.0216058174330325,0.8595819694759391,1.3164041323559685,4,0.07334213487721493,0.14492828832990187,0.013886364947933784,0.031225446330857925,0.004082070827611312,0.009153763330843915,0.4051617395652377,0.0,0.34330973014337923,1.67673441948432,0.0,0.16436449268553086,0.1830658205806933,0.039219018263158795,0.00841841134098181,0.05922625316681843,0.00848754104819164,0.018253445993607172,0.0070656301146107894,0.185202680774479,0.34330973014337923,0.3279607686781935,0.1739025414709059,0.4051617395652377,0.17513749881372281,0.24607105013803643,0.22860415090247557,0.11967891922572636,0.7097584956284635,0.02914146469434787,0.09686882528202931,26.11190705820499,31.527617951044103,0.2772974691332957,0.652992263099983,0.8854053988098596,1.246977038897974,4
mission_completion,True,True,False,20.01,80.01,9,4,nan,-1.25,-0.625,0.5,-0.3875,-0.19375,0.56,-0.04122340425531915,-0.020611702127659576,0.059574468085106386,7012,7013,7014,0.07749942812808326,0.04853870533071094,0.05656377212125713,0.02122958144695399,0.16135255408566182,0.014664842896480935,0.008430920137141163,0.006809550879843779,0.009879636614493148,0.03226522777075886,4.158985225118686,1.7107057744821998,0.004880168941400236,-0.0005629049243541934,0.0011981839418685157,0.004697184495439127,nan,0.3906075811120612,0.3916898209580756,0,0.7925867219847241,0.004965935672465964,True,True,True,True,normal_completion,6.33348150799975,0.07540137805449186,0.1555839318826683,0.01804806284335599,0.04742308916432552,0.019546741094627288,0.004886724422060797,0.3955214932755206,0.0,0.5294277705942527,3.32853148943001,0.0,0.195420132393129,0.22971865976124084,0.04485269412116738,0.012036862535258387,0.05748923081653916,0.009927629715493552,0.01919874950907193,0.009071310872033302,0.18625063280003784,0.5294277705942527,0.3350780392977804,0.2693593013067564,0.3955214932755206,0.27827027185597497,0.2561839135306853,0.3531773748885706,0.15179587965250885,1.3526765182226796,0.05676833625413985,0.4292573648401519,24.251648543182558,31.002469443941536,0.3184664636304014,1.0475304067554403,0.839488798234642,1.3696273835462263,4,0.07750285240501086,0.16138152608373582,0.014660290188367377,0.03226522777075886,0.002081631109559574,0.004886724422060797,0.3906075811120612,0.0,0.3916898209580756,1.495231564149163,0.0,0.14597269993951956,0.1612407292968827,0.048527984184045844,0.008431162818802827,0.05657632070862085,0.006807584691383217,0.021233153722920485,0.009874026159557327,0.18223811763645106,0.3916898209580756,0.32666085342142537,0.15485581631725112,0.3906075811120612,0.19084371860517174,0.25463467536099865,0.1871253678707622,0.13186156916790126,0.6877316446296078,0.034015905707887956,0.18933777519539952,25.96408446214191,31.002469443941536,0.26338972152069623,0.6742798148940202,0.8846883329850248,1.2479090181691816,4
