trial_id,replicate_id,com_scale,payload_x_factor,payload_y_factor,payload_mass,payload_pos_x,payload_pos_y,payload_pos_z,true_com_x,true_com_y,true_com_z,measurement_seed,torque_seed,force_seed,position_rms,position_rms_x,position_rms_y,position_rms_z,velocity_rms,attitude_rms,attitude_rms_x,attitude_rms_y,attitude_rms_z,peak_attitude,angular_acc_command_rms,mean_dob_norm,final_com_error,final_com_error_x,final_com_error_y,final_com_error_z,moce_convergence_time,max_motor_utilization,max_servo_angle,saturation_time,terminal_altitude_m,terminal_tilt_rad,terminal_airborne,numerical_success,flight_success,success,failure_reason,runtime_s
0,0,nan,-1.25,-1.25,0.5,-0.3875,-0.3875,0.56,-0.04122340425531915,-0.04122340425531915,0.059574468085106386,7000,7001,7002,0.070732653045513,0.04464704449932916,0.051043444361866475,0.020107620744605346,0.14154714184345094,0.014933187039506973,0.00850735622041467,0.0071520665274101,0.009973610664316665,0.04009736370174369,4.233172557166229,1.8410291557171656,0.007080177222268174,0.00032570400707109676,0.000879610717331121,0.007017771112287657,nan,0.432769721383152,0.387192762157131,0,0.7794269079181265,0.015287996124486319,True,True,True,True,normal_completion,6.313433789000555
1,1,nan,-1.25,-1.25,0.5,-0.3875,-0.3875,0.56,-0.04122340425531915,-0.04122340425531915,0.059574468085106386,7003,7004,7005,0.07260617816065063,0.04442702050563913,0.05417985086349333,0.019037875839948145,0.15312479482821656,0.01548363823107255,0.009739976727307574,0.00974089080161291,0.007070428036073253,0.035983578101744795,4.521143403403187,1.8023077649369794,0.0009936923512558677,0.0007412125870101816,-0.0003150361714124167,-0.0005820486238312869,nan,0.4358506048803482,0.42829394474648075,0,0.7972427718717997,0.006887260470276344,True,True,True,True,normal_completion,6.3643630220003615
2,2,nan,-1.25,-1.25,0.5,-0.3875,-0.3875,0.56,-0.04122340425531915,-0.04122340425531915,0.059574468085106386,7006,7007,7008,0.07739278126817886,0.04787154220335254,0.05709039162310875,0.02094385885687948,0.14773767138516739,0.01692977505856174,0.009727434372335647,0.007281683562472158,0.011788612664831496,0.04238268280006171,4.282944654691817,1.5345373129323865,0.005376493260411611,0.00036174841694035925,0.00033979685858217396,0.005353536770863754,nan,0.4327044344622167,0.3570931282336235,0,0.767109039354558,0.0045028748040426315,True,True,True,True,normal_completion,6.398552525000014
3,3,nan,-1.25,-1.25,0.5,-0.3875,-0.3875,0.56,-0.04122340425531915,-0.04122340425531915,0.059574468085106386,7009,7010,7011,0.07290647869509245,0.03904637463262261,0.05879817495136917,0.018262253041589314,0.14464761540466628,0.014497595330689759,0.009036295299185941,0.008495326273423172,0.00750700134184304,0.0325823985076433,4.4452955303271295,1.9396890505944384,0.009848306454304607,0.0017974644155546796,7.407879158485148e-05,0.009682601614511968,nan,0.43611337490899843,0.405383195851114,0,0.7941273383842044,0.029187439679043317,True,True,True,True,normal_completion,6.416015783999683
4,4,nan,-1.25,-1.25,0.5,-0.3875,-0.3875,0.56,-0.04122340425531915,-0.04122340425531915,0.059574468085106386,7012,7013,7014,0.07712830762140115,0.04818205360852136,0.05636315038825721,0.021224062403737906,0.1610090594960268,0.01578549437419139,0.008885990287220893,0.007088729830876835,0.010953123693169968,0.037398550171581266,4.2469591353920215,1.7399781197219184,0.005679747378873266,-0.0005721675669948037,0.0011788057881323075,0.005526533405034548,nan,0.43171336058589027,0.47885880157915467,0,0.7926394894201637,0.005523537845094011,True,True,True,True,normal_completion,6.465011935999428
5,0,nan,-1.25,-0.625,0.5,-0.3875,-0.19375,0.56,-0.04122340425531915,-0.020611702127659576,0.059574468085106386,7000,7001,7002,0.07085599229846087,0.04484678421582224,0.05103621791718789,0.020115716512427103,0.14164257014093584,0.014206750971656145,0.008121731473066699,0.006985728163000256,0.009331069235769058,0.03765799689298604,4.153647033746437,1.8511980786051605,0.006201367276704748,0.0003244128292872739,0.000864642088170036,0.006132218723769012,nan,0.40456033324679247,0.30406381463903526,0,0.7793567577794113,0.014320537925911182,True,True,True,True,normal_completion,6.355037399000139
6,1,nan,-1.25,-0.625,0.5,-0.3875,-0.19375,0.56,-0.04122340425531915,-0.020611702127659576,0.059574468085106386,7003,7004,7005,0.07294124714743058,0.04463170269128996,0.05446247340048845,0.019033539907225294,0.15356351458402487,0.01495624242652892,0.009097055985826743,0.009696876788005546,0.006848601351376568,0.03681262970400716,4.422738207553677,1.7940505411635148,0.0015289779931576444,0.0007445020495501359,-0.0002998784133144139,-0.001301369793334721,nan,0.3988108210968133,0.3537005096903423,0,0.7972539874395437,0.0050832270369860245,True,True,True,True,normal_completion,6.3725855650000085
7,2,nan,-1.25,-0.625,0.5,-0.3875,-0.19375,0.56,-0.04122340425531915,-0.020611702127659576,0.059574468085106386,7006,7007,7008,0.07763262656040405,0.047992339118984845,0.057314567478673556,0.02094278986401012,0.14813019275432476,0.01619585825425406,0.009209339753359363,0.007341766848675681,0.011117209426774858,0.03812338509267299,4.219716576384042,1.5192423776395998,0.004795357011048709,0.00040357285564476125,0.0003447145178218543,0.004765894429674622,nan,0.3999947001528881,0.31119486285396997,0,0.7671698323497937,0.00522236118320237,True,True,True,True,normal_completion,6.323943041000348
8,3,nan,-1.25,-0.625,0.5,-0.3875,-0.19375,0.56,-0.04122340425531915,-0.020611702127659576,0.059574468085106386,7009,7010,7011,0.07333980492277148,0.03921249080654402,0.05922552670891412,0.018260463764882263,0.14500382465815134,0.013873484914236818,0.008411472355934124,0.008475650099930655,0.007062865697042357,0.031225446330857925,4.342950523113276,1.9256101818040527,0.009141666738806129,0.0018053980190155736,5.25966430504482e-05,0.008961464297170901,nan,0.4051617395652377,0.34330973014337923,0,0.7941533609191622,0.026254373755709937,True,True,True,True,normal_completion,6.327135583000199
9,4,nan,-1.25,-0.625,0.5,-0.3875,-0.19375,0.56,-0.04122340425531915,-0.020611702127659576,0.059574468085106386,7012,7013,7014,0.07749942812808326,0.04853870533071094,0.05656377212125713,0.02122958144695399,0.16135255408566182,0.014664842896480935,0.008430920137141163,0.006809550879843779,0.009879636614493148,0.03226522777075886,4.158985225118686,1.7107057744821998,0.004880168941400236,-0.0005629049243541934,0.0011981839418685157,0.004697184495439127,nan,0.3906075811120612,0.3916898209580756,0,0.7925867219847241,0.004965935672465964,True,True,True,True,normal_completion,6.33348150799975
