payload_pos_x,payload_pos_y,replicates,lissajous_eligible,stabilization_failure,mission_loss,mission_position_rms_median,mission_attitude_rms_median,mission_peak_attitude_error_median,mission_max_motor_utilization_median,mission_max_servo_angle_median,mission_max_servo_rate_median,mission_realized_torque_residual_rms_median,mission_allocation_min_singular_median,mission_com_error_rms_median
-0.3875,-0.3875,5,5,0,0,0.07551928365684626,0.02020646012443708,0.054914020613247946,0.45101470640163943,0.6408314312427972,3.1573912372313178,0.3345661006716449,0.8155441293150911,0.024742205854736393
-0.19375,-0.3875,5,5,0,0,0.07549055966248756,0.01870032681053227,0.05120865483042598,0.39958540598730896,0.5246665358185293,3.1311739765204964,0.3302241945926276,0.8518542437732365,0.02516530645671512
0.0,-0.3875,5,5,0,0,0.07555008974767079,0.018542114989956913,0.049231565408076106,0.3666690480270441,0.4243385199047511,3.6303557405006845,0.33022796529030246,0.8785403310176366,0.025222125505120423
0.19375,-0.3875,5,5,0,0,0.07546965381577851,0.019097905495672644,0.051786232813086634,0.401758225815237,0.43908913439020175,4.45409367363738,0.3315265399295922,0.8542128586662663,0.025038661915351302
0.3875,-0.3875,5,5,0,0,0.07519164854088455,0.020337556672773306,0.053464882478482294,0.43866164273275077,0.5819764195642714,5.82370153990048,0.33326543780921103,0.8194424214176391,0.024584670434329645
-0.3875,-0.19375,5,5,0,0,0.07540137805449186,0.01863098056317888,0.04940713610954943,0.40456033324679247,0.5244219128219956,3.32853148943001,0.32886703700552844,0.8525460832061099,0.0250618353663128
-0.19375,-0.19375,5,5,0,0,0.07558758448799811,0.01783422879789077,0.04771774945672767,0.3649711099178085,0.42124434215236556,2.864446237924878,0.3280976292008244,0.8892953428385395,0.025380887919971944
0.0,-0.19375,5,5,0,0,0.07561510875551743,0.017653857054800017,0.04827822967597041,0.3283973053072225,0.35189820587334375,3.1966186264099017,0.32821778223094616,0.9148591334312395,0.025454819965021445
0.19375,-0.19375,5,5,0,0,0.07553057087354653,0.018076477931824333,0.04950351086568717,0.3671500702839058,0.3524846450389841,3.728658511462984,0.32926338175177605,0.8904760619250588,0.02533030134704402
0.3875,-0.19375,5,5,0,0,0.07530135285328075,0.01920653174169954,0.04952699490969487,0.4049480933372592,0.43408141245441995,4.617238492049781,0.3314490684928932,0.8557048816720141,0.024934780528414854
-0.3875,0.0,5,5,0,0,0.07552326665451023,0.018354673743534715,0.04772459902419305,0.3718239968359368,0.4109009856747609,3.753288394055821,0.32773245542518725,0.8814965818720486,0.025174768607932687
-0.19375,0.0,5,5,0,0,0.07564386929888885,0.017574379321000175,0.04615827897350236,0.3306506217842503,0.35100456630747445,3.2856747737445247,0.32714122448913924,0.9175078750693481,0.02545076620997458
0.0,0.0,5,5,0,0,0.07565926121001093,0.017375108816261357,0.04646345735326544,0.2917166069048449,0.3249131753787779,2.8975433928718752,0.32731503930007205,0.9435942024539212,0.025526686907433864
0.19375,0.0,5,5,0,0,0.07557233716306129,0.017759961506362183,0.04839837127737312,0.3342559100870578,0.3484678753714163,3.2800313695996346,0.3283260087549718,0.9130120128513819,0.025423490266776594
0.3875,0.0,5,5,0,0,0.07533409958812423,0.01880582542931481,0.05148722587083393,0.37297395296163866,0.41551919154678524,3.834100423285918,0.3304118933277394,0.8751691742335123,0.025083179960527852
-0.3875,0.19375,5,5,0,0,0.07550909526151622,0.018527678609958624,0.04828239393731906,0.40258214520352403,0.4316285825816111,4.360801000672149,0.3280143023490024,0.8517961079877693,0.025138353314747227
-0.19375,0.19375,5,5,0,0,0.07561951982206289,0.01781971229978041,0.04637874288897571,0.36396568093389925,0.3616262090154495,3.8674919137413752,0.3271389752239782,0.8871764372170201,0.025421194770963915
0.0,0.19375,5,5,0,0,0.07564791762074032,0.01763260111867363,0.04613442041179017,0.3316751077819118,0.34848923067682186,3.2932758017654744,0.3272797679210456,0.9072785048599303,0.02549366372552731
0.19375,0.19375,5,5,0,0,0.07554367269573978,0.0180393443124466,0.04784389729263812,0.3664932402528618,0.4013681754901735,2.933460950223787,0.32842441681513784,0.879510389984227,0.025384633606681042
0.3875,0.19375,5,5,0,0,0.07524720065802705,0.019203889981752188,0.05311373030563783,0.4080869517300119,0.47218034209453763,3.315904839403494,0.33081713313642175,0.8417798027179482,0.025041983715969676
-0.3875,0.3875,5,5,0,0,0.0755853760104484,0.01951777569023432,0.05241048267742545,0.44565807103052424,0.5462533005864489,5.623410155643958,0.3304226964946415,0.8152390871242371,0.024944183271449556
-0.19375,0.3875,5,5,0,0,0.07546856973344113,0.018468140965380245,0.04910407632108047,0.40552623983786906,0.4545222573228144,4.446023049825156,0.3285148008845995,0.8493481825606657,0.025301575995875094
0.0,0.3875,5,5,0,0,0.07553179825001263,0.018299085898280366,0.04844967640863374,0.37262013188148413,0.41019757047728,3.920873930570349,0.32845511979270964,0.8709999901166324,0.025353572952536464
0.19375,0.3875,5,5,0,0,0.07537484045246032,0.018804315723343606,0.05261074421199881,0.40300805690938374,0.45711668551755885,3.4028842773521717,0.32980103528217053,0.843583732930568,0.02521218961026547
0.3875,0.3875,5,5,0,0,0.07496762952249672,0.02031907047047771,0.05565839147870582,0.4476392286482877,0.5798045492451116,3.5041811689126354,0.33312927807849707,0.8067860022088942,0.024775997643422316
