case,replicate_id,com_scale,time,altitude,attitude_error,motor_utilization,servo_angle,servo_rate,a1_min_singular,a1_condition,force_residual,torque_residual,com_error,dob_norm
success,2,1.22,-14.9975,0.22743843046454965,0.0004078180750914209,0.0,4.4621695706571974e-05,0.0,0.9999943810320819,1.0000117573540324,47.011795482035225,0.06037540531151881,0.07565916760295552,0.0
success,2,1.22,-14.9725,0.22409472751918022,0.0009446612788054619,0.11192987452420454,0.00034042068934811063,0.09167566842232991,0.9999520588465333,1.0000975618504853,36.30557339348308,0.8051588564721224,0.07565916760295552,0.0
success,2,1.22,-14.9475,0.2169611035475922,0.002456012182288933,0.18901562677755798,0.0011768697977598528,0.11742659407405369,0.999864539735593,1.0002977291914001,25.038924175439284,2.010105158649186,0.07565916760295552,0.0
success,2,1.22,-14.9225,0.20869744794573228,0.006174159568049581,0.22701578057676805,0.0006314954240612473,0.18936175575582082,0.9999075864676944,1.0001886150439185,18.748470234662758,1.268846699967418,0.07565916760295552,0.0
success,2,1.22,-14.8975,0.2050610922148478,0.0035189751485478855,0.2183392328797988,0.004584013799626502,0.18865391731475162,0.9992952684716081,1.0013757892967818,7.812635091894746,1.3812756669400887,0.07565916760295552,0.0
success,2,1.22,-14.8725,0.20617723391036294,0.004545669097055818,0.18205722565175114,0.009244312559431018,0.13948807615452063,0.9985348780793201,1.002893215626975,11.710068405642838,2.1152989268818536,0.07565916760295552,0.0
success,2,1.22,-14.8475,0.20692585758635754,0.0025324913422501588,0.17183175415991553,0.026236245974037495,1.1370111478361908,0.9959251335860198,1.0080787853292854,15.806277484334627,1.7528481759687997,0.07565916760295552,0.0
success,2,1.22,-14.8225,0.2074849512945436,0.0019176657135062066,0.18130507315200653,0.022939122462404288,0.6995991506950479,0.9963246360851079,1.0072275438488787,14.77528482893754,1.598561286235182,0.07565916760295552,0.0
success,2,1.22,-14.7975,0.20761852390063323,0.0033598568839326042,0.17281366653361274,0.0070068770113146705,0.5701277921924459,0.998863911363535,1.0021394101837384,15.611086642809036,1.3151812145580644,0.07565916760295552,0.0
success,2,1.22,-14.7725,0.2081573115708639,0.00237792769318613,0.17678347438506403,0.0034679963820580637,0.11284623754977241,0.9995235020976299,1.0008201355719641,15.291846416394435,1.4764038116551181,0.07565916760295552,0.0
