variant,trial_id,replicate_id,com_scale,payload_mass,payload_pos_x,payload_pos_y,payload_pos_z,true_com_x,true_com_y,true_com_z,measurement_seed,torque_seed,force_seed,position_rms,position_rms_x,position_rms_y,position_rms_z,velocity_rms,attitude_rms,attitude_rms_x,attitude_rms_y,attitude_rms_z,peak_attitude,angular_acc_command_rms,mean_dob_norm,final_com_error,final_com_error_x,final_com_error_y,final_com_error_z,moce_convergence_time,max_motor_utilization,max_servo_angle,saturation_time,terminal_altitude_m,terminal_tilt_rad,terminal_airborne,numerical_success,flight_success,success,failure_reason,runtime_s,motor_1_max_utilization,motor_2_max_utilization,motor_3_max_utilization,motor_4_max_utilization,motor_1_saturation_fraction,motor_2_saturation_fraction,motor_3_saturation_fraction,motor_4_saturation_fraction,servo_1_max_abs_angle_rad,servo_2_max_abs_angle_rad,servo_3_max_abs_angle_rad,servo_4_max_abs_angle_rad,servo_1_max_abs_rate_rad_s,servo_2_max_abs_rate_rad_s,servo_3_max_abs_rate_rad_s,servo_4_max_abs_rate_rad_s,servo_1_angle_contact_fraction,servo_2_angle_contact_fraction,servo_3_angle_contact_fraction,servo_4_angle_contact_fraction,motor_saturation_fraction,servo_angle_contact_fraction,servo_rate_limit_contact_fraction,servo_rate_limit_implemented,max_servo_rate_rad_s,allocation_a1_condition_max,allocation_a1_min_singular_min,allocation_a1_max_singular_max,allocation_a2_condition_max,allocation_a2_min_singular_min,allocation_a2_max_singular_max,allocation_rank_min,allocation_force_residual_max_n,allocation_torque_residual_max_nm,realized_force_residual_max_n,realized_torque_residual_max_nm,loss_event_time_s
residual_torque_off,0,0,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7000,7001,7002,0.08554896835657126,0.04814002344004288,0.06773206845728029,0.020335462437919862,0.1682407370480507,0.005098049716462139,0.0028932498002971854,0.0037204369879707128,0.0019435959258908197,0.013348466689249617,2.965502331243643,0.7135102148990577,0.002826824990425496,3.7290932111209985e-05,0.00021416388516128787,0.002818453963287143,nan,0.4192335133877447,0.4173564967339785,0,0.7947993810264139,0.0021834351989428475,True,True,True,True,normal_completion,6.285234940999999,0.4588464176666796,0.3278682289512258,0.22115478073003647,0.32680824031514016,0.0,0.0,0.0,0.0,0.2774605273500711,0.6561957366094089,0.6789134730145592,0.5757221348625349,1.4229324641974455,2.701271554129595,8.620475233271762,2.7902009319848906,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,8.620475233271762,1.402115948399741,0.8246482972944725,1.156252529457271,inf,0.0,1.0713166481754453,3,3.027835621279816,0.947025324372843,47.09973699854308,4.90111717759482,nan
residual_torque_off,1,1,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7003,7004,7005,0.07709823398857933,0.04913216394330271,0.05548480906991243,0.02125097910406756,0.15375346939975829,0.003572046426978485,0.0019971765407028707,0.002703291997560462,0.0012095511223927232,0.008455452193857415,2.8342988244327314,0.5381040067930083,0.003108153394682012,2.1095960566888672e-05,8.280472387578452e-05,0.0031069785746002387,nan,0.4161052971296999,0.34177905407419656,0,0.788117245409447,0.000469569641758442,True,True,True,True,normal_completion,6.223674636000169,0.44956641554216,0.3240132930276517,0.2221957441401618,0.31380852999310993,0.0,0.0,0.0,0.0,0.21562406988652089,0.6504515119188764,0.6718438615506486,0.5907845769077691,1.1640118434237803,3.0484362108518916,5.660845556774342,3.123817113552851,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,5.660845556774342,1.5434736588417968,0.7785701877046564,1.2017195179511144,1.1469934991227588,0.9336385880976398,1.070877391078144,4,2.5731826495648065,0.7554291368581523,46.96757682529356,4.764552692315333,nan
residual_torque_off,2,2,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7006,7007,7008,0.07379533899956116,0.04945068954060736,0.050544374304861084,0.02111036684069502,0.14790891015708454,0.003865323087895818,0.0018232335586765742,0.0032076143977882703,0.0011522811460044512,0.009361220571278299,2.8497835512068868,0.5595297060553849,0.00292370131723997,1.3785229556952106e-05,0.00029482706829070393,0.0029087654356582116,nan,0.4247182035099519,0.41003007377853956,0,0.7874087520650876,0.002039465156339293,True,True,True,True,normal_completion,6.271057359999986,0.4522452056498183,0.3178828707662226,0.2201205151386117,0.3062933741250971,0.0,0.0,0.0,0.0,0.2250521713345947,0.6058827895638749,0.6302301837145912,0.549299010909247,1.1402686523851724,2.7720525655888415,5.602453594309962,2.8565937694226022,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,5.602453594309962,1.447681658107057,0.8103414282205674,1.173116422439192,1.1491049873237047,0.9327756142168594,1.071857110350525,4,2.324073161698692,0.5974164214907087,47.01180364130385,4.785244968410559,nan
residual_torque_off,3,3,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7009,7010,7011,0.07355632802766691,0.04549817941076386,0.05381359738524579,0.021084254781195102,0.14531882581247302,0.0026946307210216945,0.0013543354568572863,0.00205527037385252,0.0010966648910844133,0.007046259741807761,2.8153333396101616,0.3899087425774226,0.004456052234437537,-6.283285830352425e-05,0.0002558654397695273,0.004448256560123834,nan,0.4140390374989022,0.37812314505427863,0,0.7815174699807678,0.0027754942795001304,True,True,True,True,normal_completion,6.222197424999877,0.4503186796880065,0.3318825727092333,0.21150747638712933,0.3180936885260237,0.0,0.0,0.0,0.0,0.2479422482025298,0.5795618486648914,0.6772897907794773,0.527676350987377,0.9502065692298357,3.1613433264580935,6.507575935045436,3.156092901423641,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,6.507575935045436,1.4286001041743666,0.8160619315582213,1.1658261604368096,1.151037356467815,0.9319835014645422,1.0727478257973646,4,2.6899987435871173,0.638745716909304,46.791909046266454,4.691188326069712,nan
residual_torque_off,4,4,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7012,7013,7014,0.07584933312410888,0.05067328832020691,0.05274798426771076,0.020074594438806506,0.1544242087138191,0.004271485398107987,0.002050508524572835,0.0034278340345429326,0.0015135904758331912,0.008990970339513932,2.8769430351502137,0.676338120240361,0.0030140847492760225,5.401397629576504e-05,2.5970683522960614e-05,0.003013488823569846,nan,0.4174961716388382,0.4194817479873673,0,0.8014391355556607,0.0018769998819276102,True,True,True,True,normal_completion,6.216615562000015,0.44700294213343944,0.32680788823979157,0.22388652482987306,0.3316021510681583,0.0,0.0,0.0,0.0,0.2102035153183581,0.6835972067501641,0.6790807667896178,0.6318321348181405,2.3319647409026594,2.653495114800176,7.859441152945622,2.7643638831603528,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,7.859441152945622,1.4017189578319804,0.8248835997926651,1.1562549798340669,inf,0.0,1.0704946511183937,3,3.518964522752711,1.7359413372509598,47.10007933283031,4.731063455238584,nan
residual_torque_off,5,0,1.22,0.5,0.3782,0.3782,0.6832,0.04023404255319149,0.04023404255319149,0.0726808510638298,7000,7001,7002,0.0855209714763897,0.04811509879995957,0.0677144408139375,0.020335396111001748,0.1682166623695593,0.005194961710136352,0.0029395720563561447,0.0037492012148926694,0.0020712396156698757,0.013631529998781656,2.9706278339940333,0.7185633886784492,0.002880648743311544,3.7971826630962824e-05,0.0002120756809775859,0.0028725805869048437,nan,0.4216273286218636,0.42302784329135046,0,0.794801249010942,0.002239993069533841,True,True,True,True,normal_completion,6.180969168999809,0.4626289609513411,0.33147834810479393,0.22066907496682955,0.33144459069694493,0.0,0.0,0.0,0.0,0.317471848924022,0.685675538638743,0.6841587390014654,0.6397620863414556,1.4881982210577507,2.6817798234890904,9.697778989451681,2.785713448389066,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,9.697778989451681,1.4103510407272748,0.8215885491295051,1.1587282653144093,inf,0.0,1.0725724127626517,3,5.399091668067576,1.7085517781034196,47.099728856311614,5.016342872172085,nan
residual_torque_off,6,1,1.22,0.5,0.3782,0.3782,0.6832,0.04023404255319149,0.04023404255319149,0.0726808510638298,7003,7004,7005,0.07708144195237487,0.04911328221764343,0.05547825154465703,0.021250830779412016,0.1537268870984988,0.0036013573593452895,0.0020046485914644225,0.002710807135548793,0.0012659713773652223,0.008447127373039121,2.834968242741962,0.5387108736589299,0.003161708133348952,2.2466974170021192e-05,8.2130669597065e-05,0.0031605613597378707,nan,0.41867868958570137,0.3469243160082739,0,0.7881178810916457,0.0004869690288266628,True,True,True,True,normal_completion,6.232153934000053,0.4584079706837565,0.3289671204483558,0.22155428935963,0.3280398282807273,0.0,0.0,0.0,0.0,0.2189838237829678,0.6729648083043419,0.6788111300419729,0.606726353234025,1.6540353692494418,3.0371094721686585,7.459674709355048,3.119530985138586,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,7.459674709355048,1.554957717919385,0.7747960261291795,1.2047750606428371,1.149690208059739,0.9325366675064243,1.0721282752887966,4,2.676188942489115,0.7623984254280867,46.967568655010794,4.751704891448797,nan
residual_torque_off,7,2,1.22,0.5,0.3782,0.3782,0.6832,0.04023404255319149,0.04023404255319149,0.0726808510638298,7006,7007,7008,0.07377256023154874,0.04942246358808313,0.05053888810513971,0.021109986383184894,0.14787103248415917,0.003911237481625437,0.0018441822128794497,0.003228206698063505,0.001214681899901631,0.00941580687238612,2.8519049639234946,0.5624437418840673,0.0029683159556913793,1.2838566118063277e-05,0.0002954187361627614,0.0029535508382887293,nan,0.4272002863181396,0.4171937515656142,0,0.787408148630754,0.0020992149675270145,True,True,True,True,normal_completion,6.328378603999909,0.4569171495219222,0.3174904337749575,0.21945600897968429,0.30824957762838806,0.0,0.0,0.0,0.0,0.22992250354731852,0.6234992989603633,0.6490850490515486,0.5640845180758025,1.1237407461033915,2.7728928333331893,6.002519943150147,2.8463607345605326,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,6.002519943150147,1.456087827244497,0.80735724761404,1.175583060488425,1.1517034275679778,0.9317165331391204,1.0730611247380784,4,2.3807684722386284,0.5945195381480488,47.011795482035225,4.827023053480329,nan
residual_torque_off,8,3,1.22,0.5,0.3782,0.3782,0.6832,0.04023404255319149,0.04023404255319149,0.0726808510638298,7009,7010,7011,0.07353705297698163,0.045476781020771,0.053805402407915724,0.021084098753574986,0.14529148771126135,0.0027141029754323416,0.0013585025356830812,0.002059589318892994,0.0011308924172065203,0.0070990135561864905,2.815650242848041,0.3894540464780174,0.004522425096525664,-6.362073518176303e-05,0.00025557721788702775,0.004514749322103856,nan,0.4166115789444448,0.38369438783414844,0,0.781516117001708,0.002806233325250457,True,True,True,True,normal_completion,6.230220475999886,0.4536706401495924,0.33284465280250286,0.21087526567248427,0.31845940393274136,0.0,0.0,0.0,0.0,0.25273269516651914,0.5974269882702289,0.6785356066005259,0.5434257391700442,1.3085549234733451,3.170738778230639,6.512898676546505,3.1528935725958918,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,6.512898676546505,1.438237226881983,0.8126273523144584,1.1687509096811948,inf,0.0,1.0739984217382075,3,3.0041128247089377,0.7877661933397466,46.79190087584875,4.764351208639892,nan
residual_torque_off,9,4,1.22,0.5,0.3782,0.3782,0.6832,0.04023404255319149,0.04023404255319149,0.0726808510638298,7012,7013,7014,0.07581078194327234,0.05064139277225153,0.05272339312936366,0.02007405823104804,0.15436618843065758,0.004324754438909155,0.0020657635645704854,0.0034477549865071064,0.0015965924355241358,0.00907969080630606,2.878820860727813,0.6790004137996956,0.003073049151028933,5.591199527436863e-05,2.5167617177780655e-05,0.0030724373914645803,nan,0.4198516313314106,0.42568821594669887,0,0.8014382660554423,0.0018337576648280584,True,True,True,True,normal_completion,6.169910327999787,0.4552565326811732,0.33038155711084427,0.22324137750712292,0.3342589882357349,0.0,0.0,0.0,0.0,0.21333265714899888,0.6863505594406061,0.6801436595825331,0.6608414095112152,2.443305506202222,2.6560216009842668,7.943294887484184,2.7595280395515878,0.0,0.0,0.0,0.0,0.0,0.0,nan,False,7.943294887484184,1.40830063328547,0.8223524848876224,1.1583726104424032,inf,0.0,1.0717358998400885,3,4.333162482615476,2.0533897996494184,47.10007114691146,4.7164056125476925,nan
