trial_id,replicate_id,com_scale,payload_mass,payload_pos_x,payload_pos_y,payload_pos_z,true_com_x,true_com_y,true_com_z,measurement_seed,torque_seed,force_seed,position_rms,position_rms_x,position_rms_y,position_rms_z,velocity_rms,attitude_rms,attitude_rms_x,attitude_rms_y,attitude_rms_z,peak_attitude,angular_acc_command_rms,mean_dob_norm,final_com_error,final_com_error_x,final_com_error_y,final_com_error_z,moce_convergence_time,max_motor_utilization,max_servo_angle,saturation_time,terminal_altitude_m,terminal_tilt_rad,terminal_airborne,numerical_success,flight_success,success,failure_reason,runtime_s
0,0,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7000,7001,7002,0.07616909335161541,0.04094256936528919,0.06087791775036477,0.020477205037685364,0.1442917302659235,0.016486362064824404,0.010402443006175871,0.009813587397158829,0.008202610318311418,0.030837483302186785,4.716200801626567,2.131765600851319,0.006307312727001169,0.0006775480500219103,9.327256757171026e-05,0.006270121426594624,nan,0.4283031218430221,0.5079213975121184,0,0.7947290620726971,0.010715451211434609,True,True,True,True,normal_completion,6.302758922000066
1,1,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7003,7004,7005,0.06973457157513688,0.04215820295521822,0.051308906433095096,0.021283620861930645,0.13690811610842593,0.013631475530692508,0.009130575575376314,0.006896855550251652,0.007408312785322457,0.03113673262174381,4.142715630014004,1.6164033212153002,0.003131502800747515,-0.00046960225014654883,0.00013721038117358447,-0.0030930497618119612,nan,0.4272694295025754,0.35380787495245175,0,0.7879593649607237,0.009762426969375777,True,True,True,True,normal_completion,18.785420953000084
2,2,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7006,7007,7008,0.06770710171890025,0.042011232520995055,0.048701140540951655,0.021154358303925657,0.13062439357964595,0.015328132467835506,0.009872665543762177,0.006663634067371271,0.00964769926089602,0.028568538162553576,4.299391116439965,1.2849791783401157,0.0045294266391929855,0.00031566151125399233,0.0007554292552325245,0.004454816509182252,nan,0.4288676486061673,0.48722570686635913,0,0.787475917196474,0.008392570031925608,True,True,True,True,normal_completion,8.467802925000342
3,3,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7009,7010,7011,0.06663704759352113,0.03929921263947689,0.04951210921939771,0.02108599152387223,0.12771319891811875,0.01589875848648745,0.009653963300777004,0.009107181954783545,0.008753899179301292,0.03345341991006415,4.433420391153139,1.7404244431243054,0.011273764451778896,-0.0008697896253820406,0.0003563242977154685,0.011234512179735659,nan,0.4234877435925823,0.4970601049049342,0,0.7816577631752322,0.010929822255595684,True,True,True,True,normal_completion,7.2616944129999865
4,4,1.2,0.5,0.372,0.372,0.672,0.03957446808510638,0.03957446808510638,0.07148936170212766,7012,7013,7014,0.06836784934810346,0.04405956326754764,0.04824070050372607,0.020143299731368237,0.13665616719230217,0.013349439435627443,0.008872735501066781,0.005851762012956319,0.008077065018762413,0.027880993330293122,3.9640285139703413,1.462608163751479,0.0023880265231913216,-0.00046607209781554526,0.0002507722523965236,0.002328639249117609,nan,0.42253482169738105,0.4856023380040485,0,0.8016292945094359,0.004269850080358101,True,True,True,True,normal_completion,6.6021441950001645
5,0,1.22,0.5,0.3782,0.3782,0.6832,0.04023404255319149,0.04023404255319149,0.0726808510638298,7000,7001,7002,0.07607269097896284,0.04087686983400181,0.06080016075237029,0.02048112003384529,0.14407525633168153,0.016736327843452723,0.01054075098950502,0.009937688773427626,0.008380905685143504,0.03181782333647861,4.763185812768637,2.141707349621145,0.006397774233679102,0.0006660937757137914,7.074952926538342e-05,0.00636261178535924,nan,0.43321058661069517,0.5105456244592467,0,0.7947682712344778,0.010852378955332578,True,True,True,True,normal_completion,6.305457471999944
6,1,1.22,0.5,0.3782,0.3782,0.6832,0.04023404255319149,0.04023404255319149,0.0726808510638298,7003,7004,7005,0.06969386425278708,0.042151772030465044,0.051257468761208715,0.021286961393569736,0.13703867061364597,0.013834680061040926,0.009260228319673316,0.006934500992580571,0.007586780598039117,0.03141398423645865,4.175522969681997,1.6221348054712315,0.003085086564162771,-0.000467133181852146,0.00013871195647307405,-0.0030463592519467814,nan,0.42964216267175964,0.4922020213419905,0,0.7879579294031366,0.00991995370044177,True,True,True,True,normal_completion,6.18398093299993
7,2,1.22,0.5,0.3782,0.3782,0.6832,0.04023404255319149,0.04023404255319149,0.0726808510638298,7006,7007,7008,0.0677601651254526,0.0419793831205172,0.048804673978271276,0.021148881022978253,0.13068427552947504,0.015361801573113343,0.009947822098133762,0.0067736783626014575,0.009546887687388707,0.0293907380743199,4.3073993332260425,1.290894125220294,0.004540704196322413,0.00030549764644290794,0.0007457969557169847,0.004468607466242822,nan,0.4296619471675387,0.4315732482951882,0,0.7874821413087336,0.008599053546635978,True,True,True,True,normal_completion,6.245009584999934
8,3,1.22,0.5,0.3782,0.3782,0.6832,0.04023404255319149,0.04023404255319149,0.0726808510638298,7009,7010,7011,0.06670747086234505,0.039274411828598164,0.04962866787241488,0.021080857894730427,0.12776451082676885,0.0160701298242623,0.009703076942132167,0.00917971472987431,0.008934887123060706,0.033771595188098684,4.441039341999724,1.747323429983142,0.011309401952405549,-0.0008809806388785368,0.0003427456000962281,0.011269825690249619,nan,0.4246588125279349,0.5119795620414551,0,0.7816820119352408,0.01099741373369321,True,True,True,True,normal_completion,7.101738589999968
9,4,1.22,0.5,0.3782,0.3782,0.6832,0.04023404255319149,0.04023404255319149,0.0726808510638298,7012,7013,7014,0.06833750269071037,0.04403353262627015,0.048221960701401535,0.020142114699468295,0.13658789759534654,0.013506118147898982,0.008952844425651989,0.005911743186446411,0.008204455899849935,0.02814382036513272,3.980375042562435,1.4703649270190995,0.0024059025874659354,-0.00046437654657478095,0.00024957399915272876,0.002347431469141001,nan,0.4246861634656532,0.4971607776307161,0,0.8016439363997774,0.004246886265952023,True,True,True,True,normal_completion,8.957558772000084
